ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00014906,ZAC0001494,01/02/2018 13:23,COMPLETE,02/02/2018 21:43,04/02/2018 18:45,12/02/2018,
ZA-00014907,ZAC0000379,01/02/2018 19:07,COMPLETE,03/02/2018 07:29,08/02/2018 19:48,08/02/2018,
ZA-00014908,ZAC0007876,01/02/2018 07:24,COMPLETE,02/02/2018 11:30,06/02/2018 10:39,09/02/2018,
ZA-00014909,ZAC0004842,01/02/2018 17:46,COMPLETE,02/02/2018 23:42,09/02/2018 12:52,09/02/2018,
ZA-00014910,ZAC0019840,01/02/2018 09:19,COMPLETE,05/02/2018 13:00,12/02/2018 22:20,10/02/2018,
ZA-00014911,ZAC0006414,01/02/2018 19:54,COMPLETE,05/02/2018 00:53,08/02/2018 21:41,09/02/2018,
ZA-00014912,ZAC0019902,01/02/2018 18:00,COMPLETE,02/02/2018 05:16,05/02/2018 21:20,05/02/2018,
ZA-00014913,ZAC0017721,01/02/2018 19:31,COMPLETE,06/02/2018 14:03,08/02/2018 06:17,11/02/2018,
ZA-00014914,ZAC0007978,01/02/2018 10:57,COMPLETE,02/02/2018 07:12,13/02/2018 18:14,06/02/2018,BULK20
ZA-00014915,ZAC0012902,01/02/2018 07:58,COMPLETE,01/02/2018 16:51,04/02/2018 07:17,05/02/2018,
ZA-00014916,ZAC0022833,01/02/2018 18:44,COMPLETE,02/02/2018 01:48,07/02/2018 23:26,12/02/2018,
ZA-00014917,ZAC0020415,01/02/2018 14:31,COMPLETE,01/02/2018 18:11,06/02/2018 08:43,06/02/2018,
ZA-00014918,ZAC0000601,01/02/2018 08:20,COMPLETE,03/02/2018 19:25,04/02/2018 03:17,06/02/2018,
ZA-00014919,ZAC0007574,01/02/2018 22:20,COMPLETE,02/02/2018 02:40,05/02/2018 22:54,05/02/2018,FLASH25
ZA-00014920,ZAC0004106,01/02/2018 21:04,COMPLETE,11/02/2018 23:35,13/02/2018 20:14,15/02/2018,
ZA-00014921,ZAC0014590,01/02/2018 11:58,COMPLETE,02/02/2018 00:19,04/02/2018 19:48,09/02/2018,
ZA-00014922,ZAC0008616,01/02/2018 21:17,COMPLETE,05/02/2018 14:45,08/02/2018 03:29,10/02/2018,
ZA-00014923,ZAC0001586,01/02/2018 11:19,COMPLETE,02/02/2018 15:17,06/02/2018 22:14,06/02/2018,FLASH25
ZA-00014924,ZAC0004318,01/02/2018 13:30,COMPLETE,02/02/2018 14:40,08/02/2018 20:54,06/02/2018,
ZA-00014925,ZAC0004342,01/02/2018 12:57,COMPLETE,03/02/2018 17:28,08/02/2018 03:49,08/02/2018,
ZA-00014926,ZAC0013402,01/02/2018 06:44,COMPLETE,03/02/2018 02:10,05/02/2018 18:15,13/02/2018,
ZA-00014927,ZAC0000419,01/02/2018 16:31,COMPLETE,06/02/2018 09:05,08/02/2018 10:50,13/02/2018,
ZA-00014928,ZAC0006530,01/02/2018 19:15,COMPLETE,07/02/2018 08:52,08/02/2018 22:36,10/02/2018,LOYAL5
ZA-00014929,ZAC0013345,01/02/2018 17:42,COMPLETE,03/02/2018 01:38,09/02/2018 01:49,10/02/2018,
ZA-00014930,ZAC0011321,01/02/2018 06:37,COMPLETE,04/02/2018 15:49,13/02/2018 09:15,09/02/2018,FREESHIP
ZA-00014931,ZAC0005730,01/02/2018 22:41,COMPLETE,04/02/2018 06:14,07/02/2018 12:09,09/02/2018,
ZA-00014932,ZAC0013059,01/02/2018 17:02,COMPLETE,02/02/2018 12:27,03/02/2018 00:31,05/02/2018,
ZA-00014933,ZAC0005461,01/02/2018 08:02,COMPLETE,01/02/2018 16:53,09/02/2018 09:25,05/02/2018,
ZA-00014934,ZAC0022147,01/02/2018 22:24,COMPLETE,03/02/2018 12:13,04/02/2018 03:30,06/02/2018,
ZA-00014935,ZAC0008546,01/02/2018 16:05,COMPLETE,04/02/2018 20:03,08/02/2018 09:05,11/02/2018,FLASH25
ZA-00014936,ZAC0020599,01/02/2018 09:30,COMPLETE,02/02/2018 02:02,12/02/2018 12:54,06/02/2018,
ZA-00014937,ZAC0006504,01/02/2018 16:20,COMPLETE,03/02/2018 19:05,08/02/2018 19:49,07/02/2018,
