ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt
ZA-00000485,ZAC0022825,01/03/2017 17:09,COMPLETE,02/03/2017 12:08,07/03/2017 07:11,09/03/2017
ZA-00000486,ZAC0023752,01/03/2017 07:12,COMPLETE,01/03/2017 15:50,04/03/2017 19:28,08/03/2017
ZA-00000487,ZAC0015283,01/03/2017 13:44,COMPLETE,04/03/2017 12:01,09/03/2017 13:32,08/03/2017
ZA-00000488,ZAC0010661,01/03/2017 07:36,COMPLETE,04/03/2017 00:18,06/03/2017 17:03,11/03/2017
ZA-00000489,ZAC0018790,01/03/2017 15:46,COMPLETE,07/03/2017 17:12,13/03/2017 05:04,12/03/2017
ZA-00000490,ZAC0016806,01/03/2017 10:39,COMPLETE,03/03/2017 04:31,05/03/2017 08:48,10/03/2017
ZA-00000491,ZAC0009733,01/03/2017 16:31,COMPLETE,04/03/2017 06:07,08/03/2017 16:21,09/03/2017
ZA-00000492,ZAC0010739,01/03/2017 10:47,COMPLETE,04/03/2017 08:08,10/03/2017 00:52,11/03/2017
ZA-00000493,ZAC0013021,01/03/2017 16:31,CANCELLED,,,
ZA-00000494,ZAC0013594,01/03/2017 22:17,COMPLETE,08/03/2017 16:53,12/03/2017 21:38,11/03/2017
ZA-00000495,ZAC0021709,01/03/2017 06:27,COMPLETE,03/03/2017 09:29,05/03/2017 05:52,10/03/2017
ZA-00000496,ZAC0005617,02/03/2017 12:25,COMPLETE,03/03/2017 09:43,08/03/2017 15:23,07/03/2017
ZA-00000497,ZAC0015167,02/03/2017 07:22,COMPLETE,03/03/2017 05:51,06/03/2017 04:46,07/03/2017
ZA-00000498,ZAC0009463,02/03/2017 11:30,COMPLETE,03/03/2017 08:26,03/03/2017 17:53,13/03/2017
ZA-00000499,ZAC0012850,02/03/2017 11:21,COMPLETE,05/03/2017 08:59,10/03/2017 06:44,09/03/2017
ZA-00000500,ZAC0008287,02/03/2017 22:19,CANCELLED,,,
ZA-00000501,ZAC0011219,02/03/2017 15:04,COMPLETE,02/03/2017 22:11,09/03/2017 14:55,07/03/2017
ZA-00000502,ZAC0012193,02/03/2017 22:43,COMPLETE,03/03/2017 07:05,08/03/2017 04:06,08/03/2017
ZA-00000503,ZAC0012571,02/03/2017 15:21,COMPLETE,03/03/2017 02:51,04/03/2017 14:27,10/03/2017
ZA-00000504,ZAC0002389,02/03/2017 17:10,COMPLETE,03/03/2017 16:31,09/03/2017 20:18,10/03/2017
ZA-00000505,ZAC0007606,02/03/2017 15:14,COMPLETE,05/03/2017 06:26,11/03/2017 16:58,12/03/2017
ZA-00000506,ZAC0016167,02/03/2017 12:05,COMPLETE,06/03/2017 21:24,09/03/2017 20:18,11/03/2017
ZA-00000507,ZAC0018098,02/03/2017 07:32,COMPLETE,06/03/2017 13:45,08/03/2017 03:49,09/03/2017
ZA-00000508,ZAC0000752,02/03/2017 11:48,COMPLETE,04/03/2017 10:09,05/03/2017 02:12,08/03/2017
ZA-00000509,ZAC0019001,03/03/2017 08:30,COMPLETE,04/03/2017 00:34,05/03/2017 04:05,08/03/2017
ZA-00000510,ZAC0009924,03/03/2017 13:35,COMPLETE,07/03/2017 11:35,12/03/2017 09:56,17/03/2017
ZA-00000511,ZAC0012254,03/03/2017 16:40,COMPLETE,05/03/2017 01:38,11/03/2017 04:03,09/03/2017
ZA-00000512,ZAC0013101,03/03/2017 06:48,DISPATCHED,05/03/2017 15:48,,09/03/2017
ZA-00000513,ZAC0022351,03/03/2017 09:29,COMPLETE,04/03/2017 02:11,08/03/2017 16:41,11/03/2017
ZA-00000514,ZAC0012373,03/03/2017 08:19,CANCELLED,,,
ZA-00000515,ZAC0014730,03/03/2017 15:38,COMPLETE,06/03/2017 09:50,10/03/2017 15:20,11/03/2017
ZA-00000516,ZAC0018116,03/03/2017 21:34,COMPLETE,06/03/2017 02:33,10/03/2017 07:27,10/03/2017
ZA-00000517,ZAC0009506,03/03/2017 18:27,COMPLETE,10/03/2017 08:12,13/03/2017 02:17,14/03/2017
ZA-00000518,ZAC0006132,03/03/2017 16:09,COMPLETE,07/03/2017 05:20,08/03/2017 14:21,12/03/2017
ZA-00000519,ZAC0017680,03/03/2017 13:45,COMPLETE,04/03/2017 16:06,09/03/2017 15:53,11/03/2017
ZA-00000520,ZAC0012353,03/03/2017 07:59,COMPLETE,04/03/2017 04:05,08/03/2017 01:59,07/03/2017
ZA-00000521,ZAC0015712,03/03/2017 09:23,COMPLETE,04/03/2017 10:09,06/03/2017 13:07,08/03/2017
