ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00016752,ZAC0010891,01/03/2018 06:30,COMPLETE,03/03/2018 07:29,08/03/2018 02:19,07/03/2018,FREESHIP
ZA-00016753,ZAC0008215,01/03/2018 15:41,COMPLETE,02/03/2018 05:08,06/03/2018 13:59,05/03/2018,
ZA-00016754,ZAC0012888,01/03/2018 11:30,COMPLETE,04/03/2018 16:12,06/03/2018 12:38,07/03/2018,FREESHIP
ZA-00016755,ZAC0014919,01/03/2018 13:14,COMPLETE,03/03/2018 12:37,05/03/2018 07:49,06/03/2018,
ZA-00016756,ZAC0011253,01/03/2018 16:46,COMPLETE,03/03/2018 09:10,07/03/2018 15:04,07/03/2018,BULK20
ZA-00016757,ZAC0020840,01/03/2018 13:04,COMPLETE,01/03/2018 20:33,09/03/2018 17:46,06/03/2018,WELCOME10
ZA-00016758,ZAC0016659,01/03/2018 09:32,COMPLETE,03/03/2018 05:55,05/03/2018 12:44,07/03/2018,
ZA-00016759,ZAC0017295,01/03/2018 10:36,COMPLETE,07/03/2018 11:23,13/03/2018 22:28,11/03/2018,
ZA-00016760,ZAC0004327,01/03/2018 09:04,COMPLETE,03/03/2018 06:00,05/03/2018 15:10,10/03/2018,
ZA-00016761,ZAC0009210,01/03/2018 14:42,COMPLETE,02/03/2018 09:35,04/03/2018 18:49,05/03/2018,WINTER15
ZA-00016762,ZAC0006311,01/03/2018 07:31,COMPLETE,02/03/2018 01:19,05/03/2018 18:09,06/03/2018,
ZA-00016763,ZAC0010077,01/03/2018 17:30,COMPLETE,02/03/2018 08:05,07/03/2018 08:31,09/03/2018,
ZA-00016764,ZAC0015181,01/03/2018 18:59,COMPLETE,04/03/2018 03:34,06/03/2018 01:53,11/03/2018,
ZA-00016765,ZAC0007091,01/03/2018 09:08,COMPLETE,02/03/2018 12:47,07/03/2018 04:06,05/03/2018,
ZA-00016766,ZAC0008845,01/03/2018 07:31,COMPLETE,02/03/2018 04:22,04/03/2018 09:14,05/03/2018,
ZA-00016767,ZAC0023033,01/03/2018 11:19,COMPLETE,02/03/2018 17:25,05/03/2018 12:10,09/03/2018,
ZA-00016768,ZAC0004904,01/03/2018 18:38,COMPLETE,02/03/2018 14:14,08/03/2018 21:41,06/03/2018,
ZA-00016769,ZAC0008404,01/03/2018 15:06,COMPLETE,04/03/2018 06:23,07/03/2018 15:08,11/03/2018,
ZA-00016770,ZAC0012593,01/03/2018 08:01,COMPLETE,04/03/2018 20:01,08/03/2018 13:59,09/03/2018,
ZA-00016771,ZAC0010473,01/03/2018 15:08,COMPLETE,02/03/2018 05:40,07/03/2018 10:29,07/03/2018,LOYAL5
ZA-00016772,ZAC0001375,01/03/2018 13:32,COMPLETE,02/03/2018 18:00,08/03/2018 08:08,05/03/2018,
ZA-00016773,ZAC0016107,01/03/2018 20:36,COMPLETE,03/03/2018 01:15,04/03/2018 01:30,08/03/2018,
ZA-00016774,ZAC0017294,01/03/2018 15:28,COMPLETE,02/03/2018 10:06,08/03/2018 01:10,09/03/2018,
ZA-00016775,ZAC0007466,01/03/2018 07:38,COMPLETE,03/03/2018 10:40,13/03/2018 05:29,07/03/2018,
ZA-00016776,ZAC0016967,01/03/2018 06:57,COMPLETE,07/03/2018 07:51,13/03/2018 16:47,12/03/2018,
ZA-00016777,ZAC0004231,01/03/2018 17:53,COMPLETE,02/03/2018 19:50,07/03/2018 05:03,09/03/2018,
ZA-00016778,ZAC0006252,01/03/2018 12:06,COMPLETE,02/03/2018 20:06,06/03/2018 16:58,09/03/2018,
ZA-00016779,ZAC0008442,01/03/2018 12:42,COMPLETE,06/03/2018 10:20,12/03/2018 17:46,13/03/2018,
ZA-00016780,ZAC0016756,01/03/2018 16:07,COMPLETE,03/03/2018 23:28,11/03/2018 06:10,07/03/2018,
ZA-00016781,ZAC0011200,01/03/2018 12:27,COMPLETE,03/03/2018 22:06,07/03/2018 13:01,10/03/2018,
ZA-00016782,ZAC0001992,01/03/2018 19:32,COMPLETE,03/03/2018 15:13,11/03/2018 00:15,07/03/2018,
ZA-00016783,ZAC0017772,01/03/2018 16:09,COMPLETE,05/03/2018 12:17,17/03/2018 07:34,10/03/2018,
