ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00007764,ZAC0016620,01/10/2017 15:20,COMPLETE,05/10/2017 08:20,15/10/2017 13:10,12/10/2017,
ZA-00007765,ZAC0000655,01/10/2017 18:09,COMPLETE,05/10/2017 07:33,16/10/2017 05:14,10/10/2017,
ZA-00007766,ZAC0021500,01/10/2017 17:16,COMPLETE,03/10/2017 11:35,05/10/2017 14:09,07/10/2017,
ZA-00007767,ZAC0013148,01/10/2017 22:38,COMPLETE,04/10/2017 15:36,09/10/2017 11:57,08/10/2017,
ZA-00007768,ZAC0016298,01/10/2017 17:11,COMPLETE,06/10/2017 19:41,10/10/2017 06:22,10/10/2017,
ZA-00007769,ZAC0017786,01/10/2017 14:36,COMPLETE,02/10/2017 13:19,05/10/2017 13:56,07/10/2017,
ZA-00007770,ZAC0005557,01/10/2017 15:05,COMPLETE,02/10/2017 16:59,05/10/2017 00:58,05/10/2017,
ZA-00007771,ZAC0007909,01/10/2017 08:51,COMPLETE,04/10/2017 09:13,11/10/2017 03:16,08/10/2017,
ZA-00007772,ZAC0007216,01/10/2017 09:53,COMPLETE,02/10/2017 14:47,11/10/2017 23:30,06/10/2017,
ZA-00007773,ZAC0005221,01/10/2017 11:26,COMPLETE,02/10/2017 06:35,03/10/2017 23:57,06/10/2017,
ZA-00007774,ZAC0023232,01/10/2017 14:53,COMPLETE,05/10/2017 18:27,11/10/2017 19:57,08/10/2017,
ZA-00007775,ZAC0021282,01/10/2017 17:31,COMPLETE,02/10/2017 05:01,06/10/2017 19:37,07/10/2017,WINTER15
ZA-00007776,ZAC0017890,01/10/2017 15:15,COMPLETE,05/10/2017 08:31,06/10/2017 00:50,10/10/2017,
ZA-00007777,ZAC0001529,01/10/2017 12:25,CANCELLED,,,,
ZA-00007778,ZAC0010490,01/10/2017 15:53,COMPLETE,04/10/2017 15:44,06/10/2017 12:44,08/10/2017,
ZA-00007779,ZAC0001810,01/10/2017 08:24,PENDING,,,,
ZA-00007780,ZAC0008758,01/10/2017 12:37,COMPLETE,05/10/2017 09:13,10/10/2017 08:54,12/10/2017,
ZA-00007781,ZAC0001343,01/10/2017 06:24,COMPLETE,01/10/2017 16:50,07/10/2017 06:01,05/10/2017,WINTER15
ZA-00007782,ZAC0018866,01/10/2017 09:59,COMPLETE,05/10/2017 03:21,14/10/2017 19:31,12/10/2017,WELCOME10
ZA-00007783,ZAC0003338,01/10/2017 09:20,COMPLETE,03/10/2017 07:55,06/10/2017 13:16,06/10/2017,
ZA-00007784,ZAC0006065,01/10/2017 15:55,COMPLETE,04/10/2017 21:54,07/10/2017 02:33,07/10/2017,BULK20
ZA-00007785,ZAC0018308,01/10/2017 15:31,COMPLETE,06/10/2017 12:59,24/10/2017 19:07,09/10/2017,
ZA-00007786,ZAC0006289,01/10/2017 12:21,COMPLETE,03/10/2017 19:24,04/10/2017 21:37,13/10/2017,
ZA-00007787,ZAC0012617,01/10/2017 12:39,COMPLETE,03/10/2017 01:50,08/10/2017 12:34,10/10/2017,
ZA-00007788,ZAC0004220,01/10/2017 07:56,COMPLETE,02/10/2017 07:32,13/10/2017 12:08,09/10/2017,
ZA-00007789,ZAC0014499,01/10/2017 15:37,COMPLETE,04/10/2017 05:22,09/10/2017 14:36,08/10/2017,WINTER15
ZA-00007790,ZAC0010103,01/10/2017 14:28,COMPLETE,03/10/2017 16:47,10/10/2017 00:20,07/10/2017,
ZA-00007791,ZAC0010904,01/10/2017 12:39,COMPLETE,02/10/2017 16:42,09/10/2017 04:37,07/10/2017,
