ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00032793,ZAC0015047,01/10/2018 22:45,COMPLETE,02/10/2018 13:45,04/10/2018 19:49,06/10/2018,
ZA-00032794,ZAC0017695,01/10/2018 21:04,COMPLETE,02/10/2018 00:06,03/10/2018 14:53,09/10/2018,
ZA-00032795,ZAC0003564,01/10/2018 10:44,COMPLETE,03/10/2018 09:11,10/10/2018 19:36,08/10/2018,FREESHIP
ZA-00032796,ZAC0003710,01/10/2018 18:21,COMPLETE,02/10/2018 08:44,07/10/2018 09:27,06/10/2018,
ZA-00032797,ZAC0002433,01/10/2018 10:41,COMPLETE,03/10/2018 04:50,08/10/2018 02:26,07/10/2018,FREESHIP
ZA-00032798,ZAC0013407,01/10/2018 19:45,COMPLETE,04/10/2018 18:42,09/10/2018 18:05,07/10/2018,
ZA-00032799,ZAC0004504,01/10/2018 14:59,COMPLETE,02/10/2018 06:40,04/10/2018 04:11,05/10/2018,
ZA-00032800,ZAC0001149,01/10/2018 20:23,COMPLETE,02/10/2018 18:16,06/10/2018 08:32,06/10/2018,
ZA-00032801,ZAC0013481,01/10/2018 15:17,COMPLETE,03/10/2018 07:23,05/10/2018 09:10,07/10/2018,
ZA-00032802,ZAC0011293,01/10/2018 20:31,COMPLETE,04/10/2018 01:09,10/10/2018 07:27,14/10/2018,
ZA-00032803,ZAC0013524,01/10/2018 06:19,COMPLETE,03/10/2018 00:19,06/10/2018 12:31,08/10/2018,
ZA-00032804,ZAC0022042,01/10/2018 12:16,COMPLETE,03/10/2018 23:32,07/10/2018 09:33,06/10/2018,
ZA-00032805,ZAC0013134,01/10/2018 16:20,COMPLETE,05/10/2018 08:48,08/10/2018 21:29,09/10/2018,
ZA-00032806,ZAC0000021,01/10/2018 10:40,COMPLETE,02/10/2018 16:25,07/10/2018 12:00,07/10/2018,FLASH25
ZA-00032807,ZAC0022397,01/10/2018 17:31,COMPLETE,07/10/2018 02:50,12/10/2018 21:44,10/10/2018,
ZA-00032808,ZAC0001410,01/10/2018 15:23,COMPLETE,03/10/2018 05:07,03/10/2018 20:03,06/10/2018,
ZA-00032809,ZAC0012160,01/10/2018 13:34,COMPLETE,03/10/2018 12:40,07/10/2018 13:21,07/10/2018,
ZA-00032810,ZAC0007990,01/10/2018 12:00,COMPLETE,02/10/2018 18:53,06/10/2018 16:39,07/10/2018,
ZA-00032811,ZAC0007377,01/10/2018 21:03,COMPLETE,03/10/2018 01:03,03/10/2018 08:10,07/10/2018,
ZA-00032812,ZAC0002589,01/10/2018 06:05,COMPLETE,03/10/2018 20:20,05/10/2018 08:49,10/10/2018,
ZA-00032813,ZAC0017258,01/10/2018 13:17,COMPLETE,04/10/2018 06:22,06/10/2018 10:59,07/10/2018,WELCOME10
ZA-00032814,ZAC0001516,01/10/2018 19:56,COMPLETE,04/10/2018 11:56,04/10/2018 23:16,09/10/2018,
ZA-00032815,ZAC0015037,01/10/2018 15:09,COMPLETE,04/10/2018 00:38,06/10/2018 06:37,11/10/2018,
ZA-00032816,ZAC0016790,01/10/2018 13:32,COMPLETE,04/10/2018 15:10,10/10/2018 11:12,08/10/2018,
ZA-00032817,ZAC0002127,01/10/2018 16:05,COMPLETE,02/10/2018 18:54,08/10/2018 09:55,09/10/2018,WELCOME10
ZA-00032818,ZAC0001490,01/10/2018 14:50,COMPLETE,05/10/2018 05:09,09/10/2018 02:08,09/10/2018,
ZA-00032819,ZAC0018485,01/10/2018 15:24,COMPLETE,04/10/2018 02:46,13/10/2018 23:51,08/10/2018,
ZA-00032820,ZAC0006609,01/10/2018 11:35,COMPLETE,05/10/2018 01:02,06/10/2018 22:26,15/10/2018,
ZA-00032821,ZAC0013372,01/10/2018 08:06,COMPLETE,02/10/2018 10:16,04/10/2018 23:31,05/10/2018,
ZA-00032822,ZAC0006022,01/10/2018 10:42,COMPLETE,02/10/2018 02:48,05/10/2018 14:10,05/10/2018,
ZA-00032823,ZAC0014452,01/10/2018 14:45,COMPLETE,02/10/2018 10:20,04/10/2018 08:42,09/10/2018,WELCOME10
ZA-00032824,ZAC0017335,01/10/2018 14:46,COMPLETE,05/10/2018 00:25,12/10/2018 23:59,09/10/2018,
ZA-00032825,ZAC0023996,01/10/2018 18:29,COMPLETE,07/10/2018 21:55,12/10/2018 16:58,11/10/2018,
ZA-00032826,ZAC0010364,01/10/2018 22:36,COMPLETE,04/10/2018 02:41,08/10/2018 14:37,07/10/2018,LOYAL5
ZA-00032827,ZAC0012498,01/10/2018 07:31,COMPLETE,03/10/2018 01:53,05/10/2018 19:03,07/10/2018,
ZA-00032828,ZAC0023053,01/10/2018 17:45,COMPLETE,03/10/2018 07:40,06/10/2018 08:35,06/10/2018,
ZA-00032829,ZAC0017358,01/10/2018 07:38,COMPLETE,02/10/2018 13:01,06/10/2018 05:05,05/10/2018,
ZA-00032830,ZAC0022615,01/10/2018 12:58,COMPLETE,03/10/2018 12:47,11/10/2018 06:22,08/10/2018,WELCOME10
ZA-00032831,ZAC0006556,01/10/2018 08:37,RETURNED,01/10/2018 16:43,03/10/2018 01:49,04/10/2018,BULK20
ZA-00032832,ZAC0010391,01/10/2018 18:16,COMPLETE,03/10/2018 06:06,05/10/2018 08:01,06/10/2018,
ZA-00032833,ZAC0017430,01/10/2018 11:22,COMPLETE,04/10/2018 21:21,07/10/2018 00:28,11/10/2018,FREESHIP
ZA-00032834,ZAC0018769,01/10/2018 18:23,COMPLETE,03/10/2018 21:42,06/10/2018 19:57,10/10/2018,WINTER15
ZA-00032835,ZAC0009890,01/10/2018 19:05,COMPLETE,03/10/2018 12:09,05/10/2018 21:57,06/10/2018,
ZA-00032836,ZAC0002769,01/10/2018 06:35,COMPLETE,03/10/2018 18:13,11/10/2018 06:08,07/10/2018,
ZA-00032837,ZAC0021553,01/10/2018 21:40,CANCELLED,,,,WINTER15
