ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt
ZA-00004947,ZAC0013108,01/08/2017 20:43,DISPATCHED,02/08/2017 15:50,,05/08/2017
ZA-00004948,ZAC0017101,01/08/2017 19:49,COMPLETE,04/08/2017 17:51,08/08/2017 17:56,08/08/2017
ZA-00004949,ZAC0009935,01/08/2017 09:41,COMPLETE,02/08/2017 21:13,06/08/2017 05:05,05/08/2017
ZA-00004950,ZAC0007136,01/08/2017 11:28,COMPLETE,02/08/2017 02:57,04/08/2017 03:54,07/08/2017
ZA-00004951,ZAC0008105,01/08/2017 12:43,COMPLETE,04/08/2017 02:23,04/08/2017 17:41,08/08/2017
ZA-00004952,ZAC0002233,01/08/2017 19:10,COMPLETE,07/08/2017 20:18,10/08/2017 22:50,12/08/2017
ZA-00004953,ZAC0017228,01/08/2017 09:24,COMPLETE,06/08/2017 02:03,09/08/2017 15:28,10/08/2017
ZA-00004954,ZAC0011613,01/08/2017 17:14,COMPLETE,05/08/2017 03:15,09/08/2017 01:31,12/08/2017
ZA-00004955,ZAC0022980,01/08/2017 15:56,COMPLETE,06/08/2017 21:04,13/08/2017 23:41,16/08/2017
ZA-00004956,ZAC0020715,01/08/2017 13:06,COMPLETE,02/08/2017 06:20,09/08/2017 07:35,06/08/2017
ZA-00004957,ZAC0006665,01/08/2017 13:38,COMPLETE,05/08/2017 10:17,11/08/2017 21:03,12/08/2017
ZA-00004958,ZAC0022739,01/08/2017 08:29,COMPLETE,03/08/2017 12:01,09/08/2017 11:16,10/08/2017
ZA-00004959,ZAC0015869,01/08/2017 08:54,COMPLETE,02/08/2017 09:01,03/08/2017 07:14,07/08/2017
ZA-00004960,ZAC0010473,01/08/2017 13:33,COMPLETE,02/08/2017 12:45,04/08/2017 13:31,05/08/2017
ZA-00004961,ZAC0023943,01/08/2017 10:57,COMPLETE,06/08/2017 07:26,07/08/2017 18:37,09/08/2017
ZA-00004962,ZAC0019821,01/08/2017 09:34,COMPLETE,01/08/2017 10:57,07/08/2017 12:10,08/08/2017
ZA-00004963,ZAC0012622,01/08/2017 08:11,COMPLETE,02/08/2017 19:12,04/08/2017 13:52,06/08/2017
ZA-00004964,ZAC0002867,01/08/2017 08:04,COMPLETE,03/08/2017 16:22,11/08/2017 02:31,06/08/2017
ZA-00004965,ZAC0013733,01/08/2017 21:16,COMPLETE,02/08/2017 05:44,03/08/2017 12:53,05/08/2017
ZA-00004966,ZAC0016525,01/08/2017 14:04,COMPLETE,04/08/2017 06:08,09/08/2017 16:49,14/08/2017
ZA-00004967,ZAC0007337,01/08/2017 12:47,COMPLETE,05/08/2017 01:02,10/08/2017 09:36,08/08/2017
ZA-00004968,ZAC0013412,01/08/2017 14:06,COMPLETE,03/08/2017 23:30,09/08/2017 19:11,10/08/2017
ZA-00004969,ZAC0000262,01/08/2017 13:30,COMPLETE,05/08/2017 07:33,13/08/2017 02:43,09/08/2017
ZA-00004970,ZAC0023281,01/08/2017 07:32,COMPLETE,05/08/2017 21:50,12/08/2017 17:05,09/08/2017
ZA-00004971,ZAC0023509,01/08/2017 19:19,CANCELLED,,,
ZA-00004972,ZAC0009698,01/08/2017 12:36,COMPLETE,01/08/2017 23:12,07/08/2017 08:22,04/08/2017
ZA-00004973,ZAC0012443,01/08/2017 21:36,COMPLETE,02/08/2017 23:54,07/08/2017 12:13,07/08/2017
ZA-00004974,ZAC0007500,01/08/2017 06:57,DISPATCHED,07/08/2017 14:25,,12/08/2017
ZA-00004975,ZAC0010639,01/08/2017 22:27,COMPLETE,06/08/2017 00:05,08/08/2017 19:39,11/08/2017
ZA-00004976,ZAC0002355,01/08/2017 13:55,COMPLETE,06/08/2017 05:08,15/08/2017 11:38,09/08/2017
ZA-00004977,ZAC0013541,01/08/2017 14:11,COMPLETE,05/08/2017 01:31,13/08/2017 08:02,10/08/2017
ZA-00004978,ZAC0000431,01/08/2017 06:34,COMPLETE,01/08/2017 17:20,14/08/2017 14:45,05/08/2017
ZA-00004979,ZAC0010134,01/08/2017 09:29,COMPLETE,01/08/2017 21:46,09/08/2017 04:31,04/08/2017
ZA-00004980,ZAC0014399,01/08/2017 15:58,COMPLETE,02/08/2017 09:52,06/08/2017 14:07,12/08/2017
ZA-00004981,ZAC0010575,01/08/2017 16:45,COMPLETE,05/08/2017 22:44,07/08/2017 18:16,15/08/2017
ZA-00004982,ZAC0005561,01/08/2017 09:56,COMPLETE,02/08/2017 20:54,06/08/2017 22:06,09/08/2017
ZA-00004983,ZAC0012665,01/08/2017 10:02,COMPLETE,02/08/2017 16:44,07/08/2017 15:53,07/08/2017
ZA-00004984,ZAC0013651,01/08/2017 14:29,COMPLETE,03/08/2017 01:36,07/08/2017 02:59,06/08/2017
ZA-00004985,ZAC0014226,01/08/2017 17:35,RETURNED,02/08/2017 02:24,10/08/2017 17:56,06/08/2017
ZA-00004986,ZAC0017499,02/08/2017 11:31,COMPLETE,04/08/2017 07:05,08/08/2017 21:15,08/08/2017
ZA-00004987,ZAC0015392,02/08/2017 22:39,COMPLETE,05/08/2017 12:49,12/08/2017 03:59,10/08/2017
ZA-00004988,ZAC0002330,02/08/2017 21:21,COMPLETE,04/08/2017 16:12,13/08/2017 06:09,08/08/2017
ZA-00004989,ZAC0021511,02/08/2017 20:10,COMPLETE,06/08/2017 03:51,14/08/2017 01:40,10/08/2017
ZA-00004990,ZAC0011829,02/08/2017 16:34,COMPLETE,04/08/2017 23:36,05/08/2017 16:01,08/08/2017
ZA-00004991,ZAC0013368,02/08/2017 20:02,COMPLETE,04/08/2017 15:47,10/08/2017 12:43,11/08/2017
ZA-00004992,ZAC0009252,02/08/2017 15:32,COMPLETE,05/08/2017 20:05,07/08/2017 11:01,12/08/2017
ZA-00004993,ZAC0023676,02/08/2017 10:35,COMPLETE,02/08/2017 21:24,07/08/2017 07:12,05/08/2017
ZA-00004994,ZAC0001242,02/08/2017 15:32,COMPLETE,03/08/2017 18:16,11/08/2017 02:59,08/08/2017
