ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00020991,ZAC0020323,01/05/2018 16:35,COMPLETE,05/05/2018 13:50,12/05/2018 13:32,08/05/2018,
ZA-00020992,ZAC0014796,01/05/2018 22:50,COMPLETE,04/05/2018 03:15,07/05/2018 08:41,09/05/2018,
ZA-00020993,ZAC0001979,01/05/2018 09:54,COMPLETE,02/05/2018 12:13,06/05/2018 15:16,09/05/2018,FLASH25
ZA-00020994,ZAC0005723,01/05/2018 18:13,COMPLETE,02/05/2018 16:25,10/05/2018 11:33,05/05/2018,
ZA-00020995,ZAC0023702,01/05/2018 21:01,COMPLETE,05/05/2018 13:26,11/05/2018 03:32,10/05/2018,WINTER15
ZA-00020996,ZAC0009533,01/05/2018 19:50,CANCELLED,,,,
ZA-00020997,ZAC0022798,01/05/2018 06:42,COMPLETE,02/05/2018 15:07,18/05/2018 05:03,09/05/2018,
ZA-00020998,ZAC0002122,01/05/2018 12:27,COMPLETE,03/05/2018 03:11,08/05/2018 01:59,08/05/2018,BULK20
ZA-00020999,ZAC0000432,01/05/2018 21:05,COMPLETE,02/05/2018 08:42,07/05/2018 07:36,07/05/2018,
ZA-00021000,ZAC0022961,01/05/2018 20:13,COMPLETE,03/05/2018 02:51,06/05/2018 00:25,07/05/2018,
ZA-00021001,ZAC0003999,01/05/2018 21:54,COMPLETE,02/05/2018 04:20,03/05/2018 20:37,05/05/2018,
ZA-00021002,ZAC0005734,01/05/2018 22:39,COMPLETE,04/05/2018 00:07,05/05/2018 07:24,11/05/2018,
ZA-00021003,ZAC0000831,01/05/2018 17:05,COMPLETE,04/05/2018 15:56,05/05/2018 14:42,11/05/2018,
ZA-00021004,ZAC0004022,01/05/2018 08:06,COMPLETE,04/05/2018 23:11,07/05/2018 07:54,14/05/2018,
ZA-00021005,ZAC0022972,01/05/2018 21:40,COMPLETE,02/05/2018 12:06,05/05/2018 14:26,07/05/2018,
ZA-00021006,ZAC0002327,01/05/2018 06:29,RETURNED,01/05/2018 23:49,05/05/2018 18:33,04/05/2018,
ZA-00021007,ZAC0008412,01/05/2018 07:14,COMPLETE,02/05/2018 21:27,09/05/2018 00:09,09/05/2018,
ZA-00021008,ZAC0011059,01/05/2018 18:57,COMPLETE,04/05/2018 02:46,11/05/2018 20:39,11/05/2018,
ZA-00021009,ZAC0015669,01/05/2018 11:55,COMPLETE,01/05/2018 18:24,08/05/2018 21:45,06/05/2018,
ZA-00021010,ZAC0021654,01/05/2018 18:06,COMPLETE,05/05/2018 17:46,11/05/2018 09:44,12/05/2018,
ZA-00021011,ZAC0004661,01/05/2018 22:01,COMPLETE,03/05/2018 10:14,05/05/2018 04:30,06/05/2018,
ZA-00021012,ZAC0019546,01/05/2018 12:09,COMPLETE,01/05/2018 20:31,19/05/2018 21:54,04/05/2018,
ZA-00021013,ZAC0006927,01/05/2018 08:08,COMPLETE,04/05/2018 11:30,07/05/2018 20:15,08/05/2018,
ZA-00021014,ZAC0000200,01/05/2018 20:10,RETURNED,04/05/2018 17:10,07/05/2018 03:35,09/05/2018,FREESHIP
ZA-00021015,ZAC0007888,01/05/2018 14:05,COMPLETE,03/05/2018 23:07,13/05/2018 02:01,06/05/2018,LOYAL5
ZA-00021016,ZAC0014026,01/05/2018 21:17,COMPLETE,03/05/2018 06:20,05/05/2018 04:31,06/05/2018,BULK20
ZA-00021017,ZAC0006482,01/05/2018 20:06,COMPLETE,05/05/2018 18:01,10/05/2018 13:55,09/05/2018,BULK20
ZA-00021018,ZAC0004852,01/05/2018 06:31,COMPLETE,02/05/2018 05:48,06/05/2018 10:43,06/05/2018,
ZA-00021019,ZAC0002063,01/05/2018 08:10,COMPLETE,04/05/2018 16:38,07/05/2018 01:00,11/05/2018,
ZA-00021020,ZAC0019930,01/05/2018 06:15,COMPLETE,02/05/2018 19:12,08/05/2018 16:57,05/05/2018,
ZA-00021021,ZAC0007954,01/05/2018 08:32,COMPLETE,04/05/2018 20:18,05/05/2018 15:09,11/05/2018,
ZA-00021022,ZAC0014300,01/05/2018 11:44,PENDING,,,,
ZA-00021023,ZAC0012034,01/05/2018 21:15,COMPLETE,05/05/2018 15:34,08/05/2018 18:37,12/05/2018,
ZA-00021024,ZAC0010045,01/05/2018 15:35,COMPLETE,02/05/2018 13:14,06/05/2018 11:42,07/05/2018,FREESHIP
ZA-00021025,ZAC0000725,01/05/2018 13:28,COMPLETE,06/05/2018 07:45,09/05/2018 06:51,13/05/2018,
ZA-00021026,ZAC0020819,01/05/2018 18:54,COMPLETE,06/05/2018 01:27,07/05/2018 07:53,13/05/2018,
ZA-00021027,ZAC0018590,01/05/2018 08:17,COMPLETE,01/05/2018 23:57,03/05/2018 21:25,05/05/2018,BULK20
ZA-00021028,ZAC0021281,01/05/2018 16:34,COMPLETE,06/05/2018 13:13,11/05/2018 01:17,10/05/2018,
ZA-00021029,ZAC0009834,01/05/2018 10:29,COMPLETE,03/05/2018 09:19,11/05/2018 17:01,13/05/2018,
ZA-00021030,ZAC0015961,01/05/2018 06:17,COMPLETE,02/05/2018 02:18,05/05/2018 02:54,09/05/2018,
ZA-00021031,ZAC0020868,01/05/2018 10:55,COMPLETE,02/05/2018 16:44,10/05/2018 11:30,06/05/2018,
ZA-00021032,ZAC0003360,01/05/2018 13:14,COMPLETE,03/05/2018 15:35,06/05/2018 00:15,07/05/2018,
ZA-00021033,ZAC0011743,01/05/2018 15:43,COMPLETE,03/05/2018 11:44,05/05/2018 05:02,10/05/2018,
ZA-00021034,ZAC0000792,01/05/2018 10:44,COMPLETE,02/05/2018 18:37,09/05/2018 07:00,07/05/2018,
ZA-00021035,ZAC0002186,01/05/2018 19:38,COMPLETE,02/05/2018 15:40,08/05/2018 17:36,07/05/2018,
ZA-00021036,ZAC0011911,01/05/2018 07:56,COMPLETE,02/05/2018 12:17,05/05/2018 05:16,09/05/2018,
ZA-00021037,ZAC0014336,01/05/2018 21:18,COMPLETE,02/05/2018 04:25,06/05/2018 08:48,07/05/2018,
ZA-00021038,ZAC0020958,01/05/2018 16:24,COMPLETE,04/05/2018 12:53,06/05/2018 05:10,09/05/2018,
ZA-00021039,ZAC0007523,01/05/2018 15:23,COMPLETE,03/05/2018 15:05,08/05/2018 02:07,10/05/2018,
ZA-00021040,ZAC0014805,01/05/2018 17:26,COMPLETE,02/05/2018 09:50,04/05/2018 23:16,05/05/2018,
ZA-00021041,ZAC0001500,01/05/2018 08:15,COMPLETE,05/05/2018 03:48,05/05/2018 22:23,15/05/2018,LOYAL5
ZA-00021042,ZAC0001217,01/05/2018 09:33,COMPLETE,02/05/2018 22:36,08/05/2018 06:05,07/05/2018,
ZA-00021043,ZAC0014734,01/05/2018 17:38,COMPLETE,03/05/2018 21:04,04/05/2018 20:33,07/05/2018,
