api_call_id,source_name,call_key,base_url,relative_url,landing_folder,landing_file,is_active
1,fx_rates_ecb,BRL,https://api.frankfurter.dev,/v1/2017-01-01..2018-10-31?base=BRL&symbols=USD,bronze/reference/fx,fx_brl_usd.json,True
2,fx_rates_ecb,ZAR,https://api.frankfurter.dev,/v1/2017-01-01..2018-10-31?base=ZAR&symbols=USD,bronze/reference/fx,fx_zar_usd.json,True
3,holidays_nager,BR-2017,https://date.nager.at,/api/v3/PublicHolidays/2017/BR,bronze/reference/holidays,holidays_br_2017.json,True
4,holidays_nager,BR-2018,https://date.nager.at,/api/v3/PublicHolidays/2018/BR,bronze/reference/holidays,holidays_br_2018.json,True
5,holidays_nager,ZA-2017,https://date.nager.at,/api/v3/PublicHolidays/2017/ZA,bronze/reference/holidays,holidays_za_2017.json,True
6,holidays_nager,ZA-2018,https://date.nager.at,/api/v3/PublicHolidays/2018/ZA,bronze/reference/holidays,holidays_za_2018.json,True
7,weather_openmeteo,BR-AC,https://archive-api.open-meteo.com,"/v1/archive?latitude=-9.9747&longitude=-67.81&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_ac.json,True
8,weather_openmeteo,BR-AL,https://archive-api.open-meteo.com,"/v1/archive?latitude=-9.6658&longitude=-35.7353&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_al.json,True
9,weather_openmeteo,BR-AP,https://archive-api.open-meteo.com,"/v1/archive?latitude=0.0389&longitude=-51.0664&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_ap.json,True
10,weather_openmeteo,BR-AM,https://archive-api.open-meteo.com,"/v1/archive?latitude=-3.119&longitude=-60.0217&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_am.json,True
11,weather_openmeteo,BR-BA,https://archive-api.open-meteo.com,"/v1/archive?latitude=-12.9777&longitude=-38.5016&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_ba.json,True
12,weather_openmeteo,BR-CE,https://archive-api.open-meteo.com,"/v1/archive?latitude=-3.7319&longitude=-38.5267&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_ce.json,True
13,weather_openmeteo,BR-DF,https://archive-api.open-meteo.com,"/v1/archive?latitude=-15.7939&longitude=-47.8828&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_df.json,True
14,weather_openmeteo,BR-ES,https://archive-api.open-meteo.com,"/v1/archive?latitude=-20.3155&longitude=-40.3128&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_es.json,True
15,weather_openmeteo,BR-GO,https://archive-api.open-meteo.com,"/v1/archive?latitude=-16.6869&longitude=-49.2648&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_go.json,True
16,weather_openmeteo,BR-MA,https://archive-api.open-meteo.com,"/v1/archive?latitude=-2.5297&longitude=-44.3028&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_ma.json,True
17,weather_openmeteo,BR-MT,https://archive-api.open-meteo.com,"/v1/archive?latitude=-15.6014&longitude=-56.0979&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_mt.json,True
18,weather_openmeteo,BR-MS,https://archive-api.open-meteo.com,"/v1/archive?latitude=-20.4697&longitude=-54.6201&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_ms.json,True
19,weather_openmeteo,BR-MG,https://archive-api.open-meteo.com,"/v1/archive?latitude=-19.9167&longitude=-43.9345&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_mg.json,True
20,weather_openmeteo,BR-PA,https://archive-api.open-meteo.com,"/v1/archive?latitude=-1.4558&longitude=-48.5044&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_pa.json,True
21,weather_openmeteo,BR-PB,https://archive-api.open-meteo.com,"/v1/archive?latitude=-7.1195&longitude=-34.845&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_pb.json,True
22,weather_openmeteo,BR-PR,https://archive-api.open-meteo.com,"/v1/archive?latitude=-25.4284&longitude=-49.2733&start_date=2017-01-01&end_date=2018-10-31&daily=precipitation_sum,wind_speed_10m_max,temperature_2m_max&timezone=auto",bronze/reference/weather,weather_br_pr.json,True
