buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000004,3cb52c98f366dad9,4005,Durban,KwaZulu-Natal,17/01/2018,organic
ZAC0000023,5dfcadabc7cd493a,6036,Port Elizabeth,Eastern Cape,16/01/2018,social
ZAC0000032,3d33814bdcf05c54,4042,Durban,KwaZulu-Natal,07/01/2018,affiliate
ZAC0000071,4105320f3b99143a,8352,Kimberley,Northern Cape,13/01/2018,paid_search
ZAC0000084,08c9f02941ce3265,1243,Nelspruit,Mpumalanga,22/01/2018,referral
ZAC0000097,b322b40252e7c317,39,Pretoria,Gauteng,23/01/2018,organic
ZAC0000108,b32db2ea24d04e37,4007,Durban,KwaZulu-Natal,30/01/2018,referral
ZAC0000113,649c15a450bd9ce2,337,Rustenburg,North West,19/01/2018,referral
ZAC0000117,d3b091b83b81e21d,1227,Nelspruit,Mpumalanga,08/01/2018,paid_search
ZAC0000139,91715df263ae428c,1237,Nelspruit,Mpumalanga,17/01/2018,referral
ZAC0000146,c24d639d5e0da8fb,35,Pretoria,Gauteng,03/01/2018,paid_search
ZAC0000168,fed22598dad86428,8323,Kimberley,Northern Cape,23/01/2018,organic
ZAC0000210,70c25a3e0c550222,8021,Cape Town,Western Cape,01/01/2018,organic
ZAC0000221,afa0d9ea1083c63d,2243,Sandton,Gauteng,28/01/2018,organic
ZAC0000230,2573da56520f256e,6050,Port Elizabeth,Eastern Cape,30/01/2018,paid_search
ZAC0000232,3b276b8e9353938d,8022,Cape Town,Western Cape,02/01/2018,organic
ZAC0000239,c10f581d3988d741,1855,Soweto,Gauteng,23/01/2018,paid_search
ZAC0000247,f5abb1924b5c8087,9356,Bloemfontein,Free State,06/01/2018,referral
ZAC0000248,c3474b5638de9d6b,354,Rustenburg,North West,26/01/2018,email
ZAC0000267,502837cc2548fd3a,2251,Sandton,Gauteng,18/01/2018,organic
ZAC0000272,b801264705a39c38,704,Polokwane,Limpopo,07/01/2018,paid_search
ZAC0000273,59a25bc3a29df4b0,182,Centurion,Gauteng,30/01/2018,paid_search
ZAC0000277,c4af6ba6dfdbafba,8348,Kimberley,Northern Cape,31/01/2018,paid_search
ZAC0000302,51c8ddcd6e9c780f,7614,Stellenbosch,Western Cape,28/01/2018,paid_search
ZAC0000306,1fdb1d6dc75b0d1d,1833,Soweto,Gauteng,12/01/2018,organic
ZAC0000334,dd3294ec604f24d8,6029,Port Elizabeth,Eastern Cape,22/01/2018,affiliate
ZAC0000370,80f5027d7aacb552,347,Rustenburg,North West,12/01/2018,organic
ZAC0000376,99f3e632476799df,1811,Soweto,Gauteng,28/01/2018,social
ZAC0000383,35b84550c750739e,1237,Nelspruit,Mpumalanga,25/01/2018,social
ZAC0000385,e22e4f5d3cdfd87d,2230,Sandton,Gauteng,06/01/2018,organic
ZAC0000387,9221857b5301afea,1256,Nelspruit,Mpumalanga,20/01/2018,email
ZAC0000394,3e5be8e02035b094,3229,Pietermaritzburg,KwaZulu-Natal,07/01/2018,referral
ZAC0000398,923e4c2fd710788b,713,Polokwane,Limpopo,15/01/2018,social
ZAC0000420,a484e90c871ab71b,3258,Pietermaritzburg,KwaZulu-Natal,28/01/2018,organic
ZAC0000466,6166a54e76c7f962,14,Pretoria,Gauteng,20/01/2018,organic
ZAC0000472,98a5c1d304ac6b98,7628,Stellenbosch,Western Cape,17/01/2018,paid_search
ZAC0000558,39fc04fd223a8c16,46,Pretoria,Gauteng,26/01/2018,paid_search
ZAC0000602,93aa39d3c97c30bd,756,Polokwane,Limpopo,09/01/2018,paid_search
ZAC0000684,99c541f1a2d4653a,341,Rustenburg,North West,26/01/2018,organic
ZAC0000696,90a6064cead083da,210,Centurion,Gauteng,03/01/2018,organic
ZAC0000727,5cca769331b43b94,1848,Soweto,Gauteng,01/01/2018,referral
ZAC0000748,2726ded26630fc0a,7622,Stellenbosch,Western Cape,19/01/2018,organic
ZAC0000754,c7cf8679a4467dc4,329,Rustenburg,North West,30/01/2018,social
ZAC0000767,da66f4b068efc708,4006,Durban,KwaZulu-Natal,24/01/2018,organic
ZAC0000783,99f1efa218410e0a,1245,Nelspruit,Mpumalanga,11/01/2018,paid_search
ZAC0000840,d044ac952257d46a,5246,East London,Eastern Cape,06/01/2018,organic
ZAC0000881,5c57ec3f9be4cea8,2057,Johannesburg,Gauteng,16/01/2018,referral
ZAC0000893,c7bc58febfa79ab0,2031,Johannesburg,Gauteng,03/01/2018,social
ZAC0000912,983d30575186411e,2240,Sandton,Gauteng,09/01/2018,paid_search
ZAC0000928,f004bd7f422106a9,161,Centurion,Gauteng,03/01/2018,organic
ZAC0000935,94560778f003450d,8327,Kimberley,Northern Cape,14/01/2018,paid_search
ZAC0000937,9b0c0e3975d0c299,738,Polokwane,Limpopo,16/01/2018,organic
ZAC0000948,9e2b6a4cf37cb89c,3202,Pietermaritzburg,KwaZulu-Natal,30/01/2018,paid_search
ZAC0000958,7b184f0b39db7fb5,722,Polokwane,Limpopo,21/01/2018,organic
ZAC0000989,c4c4352636293c4c,8309,Kimberley,Northern Cape,08/01/2018,organic
ZAC0001000,17301cf80cefb487,9339,Bloemfontein,Free State,21/01/2018,email
ZAC0001030,255b0e0ce6ed4deb,7623,Stellenbosch,Western Cape,11/01/2018,organic
ZAC0001062,687e749757b54726,7600,Stellenbosch,Western Cape,30/01/2018,social
ZAC0001072,03b8c0cba4759c97,4009,Durban,KwaZulu-Natal,07/01/2018,paid_search
ZAC0001085,c65f5ed189be8a67,1850,Soweto,Gauteng,31/01/2018,paid_search
ZAC0001095,912f142b351cbeb3,4002,Durban,KwaZulu-Natal,19/01/2018,organic
ZAC0001137,fea9dac654cfe26c,742,Polokwane,Limpopo,14/01/2018,email
ZAC0001139,500fa8544bc5e804,6034,Port Elizabeth,Eastern Cape,20/01/2018,email
ZAC0001148,edd719359ae04cbc,4014,Durban,KwaZulu-Natal,30/01/2018,paid_search
ZAC0001166,3dbf6d6343905e00,2024,Johannesburg,Gauteng,12/01/2018,paid_search
ZAC0001204,637d8d23ed6afbc1,3257,Pietermaritzburg,KwaZulu-Natal,13/01/2018,organic
ZAC0001228,332f8bbdda650a18,9348,Bloemfontein,Free State,02/01/2018,organic
ZAC0001234,8b1fc6e9a0c45435,1202,Nelspruit,Mpumalanga,26/01/2018,organic
ZAC0001260,9cb9457feee5d6a1,3260,Pietermaritzburg,KwaZulu-Natal,06/01/2018,email
ZAC0001348,5fb13f7af72440eb,6045,Port Elizabeth,Eastern Cape,18/01/2018,referral
ZAC0001373,e21d5c3f70655305,1241,Nelspruit,Mpumalanga,28/01/2018,organic
ZAC0001378,ee696817362749e8,8320,Kimberley,Northern Cape,22/01/2018,referral
ZAC0001386,126e0c7145ec4480,8000,Cape Town,Western Cape,13/01/2018,organic
ZAC0001423,7fa3bbd158561c4b,48,Pretoria,Gauteng,05/01/2018,social
ZAC0001428,4c048071d2b25843,1806,Soweto,Gauteng,01/01/2018,paid_search
ZAC0001440,33de8cf0306a5455,1226,Nelspruit,Mpumalanga,30/01/2018,affiliate
ZAC0001441,454faf61b22c8f19,7620,Stellenbosch,Western Cape,30/01/2018,social
ZAC0001444,bc8d5ec3b9bc590c,8049,Cape Town,Western Cape,14/01/2018,organic
ZAC0001522,ece63d44e82954aa,19,Pretoria,Gauteng,29/01/2018,paid_search
ZAC0001532,e50e713e624ad92d,1226,Nelspruit,Mpumalanga,04/01/2018,organic
ZAC0001536,c2f36865def7f940,5217,East London,Eastern Cape,04/01/2018,organic
ZAC0001559,93c3cbdf2351be56,188,Centurion,Gauteng,30/01/2018,social
ZAC0001564,809923420c731f8a,737,Polokwane,Limpopo,16/01/2018,organic
ZAC0001599,4ea7fcfbd6b7db83,180,Centurion,Gauteng,08/01/2018,social
ZAC0001600,9de072470ea72489,8331,Kimberley,Northern Cape,31/01/2018,organic
ZAC0001601,dc84b8a1d77961bb,8354,Kimberley,Northern Cape,15/01/2018,organic
ZAC0001655,d12ec80510cd1f61,2214,Sandton,Gauteng,14/01/2018,referral
ZAC0001659,1c60485f33fd0f7d,2244,Sandton,Gauteng,19/01/2018,paid_search
ZAC0001670,1802532249ce7e9e,331,Rustenburg,North West,14/01/2018,social
ZAC0001674,5494603ad61cc094,8348,Kimberley,Northern Cape,05/01/2018,organic
ZAC0001681,fada16573f0f6f73,6036,Port Elizabeth,Eastern Cape,09/01/2018,paid_search
ZAC0001706,fd60730c375bacde,8016,Cape Town,Western Cape,15/01/2018,referral
ZAC0001799,71a84ef882817dd6,8037,Cape Town,Western Cape,29/01/2018,organic
ZAC0001820,97a71102d1ab33fb,1836,Soweto,Gauteng,27/01/2018,email
ZAC0001930,da55537e46c0809e,6035,Port Elizabeth,Eastern Cape,07/01/2018,organic
ZAC0001946,bd00153dbd31f9bf,6059,Port Elizabeth,Eastern Cape,29/01/2018,organic
ZAC0001978,b8290026a507cdbd,202,Centurion,Gauteng,09/01/2018,referral
ZAC0002001,09df71c633a7411e,726,Polokwane,Limpopo,02/01/2018,affiliate
ZAC0002022,d247d9e920f31887,9335,Bloemfontein,Free State,23/01/2018,paid_search
ZAC0002032,38296458c69ef476,8013,Cape Town,Western Cape,12/01/2018,organic
ZAC0002035,d98073213a451836,2014,Johannesburg,Gauteng,01/01/2018,organic
ZAC0002080,572e77bcb29d1b00,8320,Kimberley,Northern Cape,28/01/2018,paid_search
ZAC0002098,f03a8fdc6d85a929,751,Polokwane,Limpopo,07/01/2018,affiliate
ZAC0002109,b5c80ab8d00b2dd2,18,Pretoria,Gauteng,24/01/2018,organic
ZAC0002118,a71c9c5d90623ac8,732,Polokwane,Limpopo,23/01/2018,paid_search
ZAC0002124,cb2d44e4387a03ce,3248,Pietermaritzburg,KwaZulu-Natal,28/01/2018,organic
