buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000011,f0213dd656b6ecd5,2238,Sandton,Gauteng,14/09/2018,social
ZAC0000019,05cd70ee7018a25b,24,Pretoria,Gauteng,01/09/2018,referral
ZAC0000037,dd3252b1a1bc500f,1843,Soweto,Gauteng,12/09/2018,paid_search
ZAC0000047,911fb0645ddbba3e,731,Polokwane,Limpopo,28/09/2018,organic
ZAC0000069,559702d3555f33a5,2245,Sandton,Gauteng,14/09/2018,referral
ZAC0000070,41e3dcd60e15a671,754,Polokwane,Limpopo,24/09/2018,paid_search
ZAC0000103,ca5fa1d8319fbfa6,8042,Cape Town,Western Cape,10/09/2018,organic
ZAC0000132,4b9136df40c4ebe4,1253,Nelspruit,Mpumalanga,08/09/2018,paid_search
ZAC0000199,4002ab4200014856,3221,Pietermaritzburg,KwaZulu-Natal,07/09/2018,paid_search
ZAC0000250,ddc21acfc2eea226,8053,Cape Town,Western Cape,06/09/2018,organic
ZAC0000300,c4d156da91601d5a,9316,Bloemfontein,Free State,29/09/2018,social
ZAC0000301,6c098906c59de818,191,Centurion,Gauteng,23/09/2018,referral
ZAC0000303,98e7c47a789eb573,744,Polokwane,Limpopo,20/09/2018,paid_search
ZAC0000335,e04629b331c8ec8a,2036,Johannesburg,Gauteng,14/09/2018,organic
ZAC0000339,7e91cdbda9f683f4,735,Polokwane,Limpopo,02/09/2018,organic
ZAC0000354,80063602df6f1ed8,185,Centurion,Gauteng,18/09/2018,paid_search
ZAC0000374,6a87dbb09f9d1d3e,9306,Bloemfontein,Free State,30/09/2018,affiliate
ZAC0000397,18e28b676d500dfe,1248,Nelspruit,Mpumalanga,07/09/2018,social
ZAC0000459,87ba30af17b82da2,753,Polokwane,Limpopo,16/09/2018,email
ZAC0000475,215cd0e5e999c4a8,2233,Sandton,Gauteng,11/09/2018,affiliate
ZAC0000489,b11231307643e326,351,Rustenburg,North West,02/09/2018,referral
ZAC0000492,064dd522eabd3dfd,730,Polokwane,Limpopo,03/09/2018,paid_search
ZAC0000496,eba5f8a4f9be0918,3213,Pietermaritzburg,KwaZulu-Natal,11/09/2018,organic
ZAC0000544,413e5846c1cdf4fe,1215,Nelspruit,Mpumalanga,11/09/2018,email
ZAC0000587,ba5a639bac36fe61,4023,Durban,KwaZulu-Natal,28/09/2018,organic
ZAC0000600,3631ca5d63c1da27,4034,Durban,KwaZulu-Natal,22/09/2018,social
ZAC0000622,09d653b6d04ccfb4,1250,Nelspruit,Mpumalanga,18/09/2018,social
ZAC0000634,4f8574e605933392,9349,Bloemfontein,Free State,11/09/2018,referral
