buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000030,a6ffe105b5bdce39,4058,Durban,KwaZulu-Natal,18/11/2017,email
ZAC0000045,0dabdb1081030d28,53,Pretoria,Gauteng,06/11/2017,organic
ZAC0000096,2c23db789dbb0e78,7633,Stellenbosch,Western Cape,29/11/2017,organic
ZAC0000126,b3eb2a9c0729c29d,7638,Stellenbosch,Western Cape,09/11/2017,paid_search
ZAC0000162,eb0755c33d7cf780,734,Polokwane,Limpopo,12/11/2017,organic
ZAC0000204,7997ae2c8cf063b3,752,Polokwane,Limpopo,24/11/2017,affiliate
ZAC0000218,26262b333b5c7b94,1827,Soweto,Gauteng,09/11/2017,social
ZAC0000223,e847596fed88f501,6044,Port Elizabeth,Eastern Cape,27/11/2017,paid_search
ZAC0000236,75bfbd4f79ded0e0,7620,Stellenbosch,Western Cape,28/11/2017,organic
ZAC0000242,ad0d4287f5223ad5,2003,Johannesburg,Gauteng,07/11/2017,social
ZAC0000265,091878fbe39b76fe,754,Polokwane,Limpopo,04/11/2017,email
ZAC0000280,4fe2af149849b251,6054,Port Elizabeth,Eastern Cape,04/11/2017,paid_search
ZAC0000338,7640a7cf38000a15,759,Polokwane,Limpopo,20/11/2017,organic
ZAC0000380,8bbb706317c8670b,720,Polokwane,Limpopo,08/11/2017,organic
ZAC0000381,e04692e257941406,2199,Sandton,Gauteng,21/11/2017,organic
ZAC0000391,6bad52ca5e23b15a,1852,Soweto,Gauteng,17/11/2017,organic
ZAC0000432,e288dc786c4234f4,7625,Stellenbosch,Western Cape,10/11/2017,paid_search
ZAC0000450,b29234c5301e5916,7618,Stellenbosch,Western Cape,29/11/2017,paid_search
ZAC0000455,c13e6e7fb0918ed2,8307,Kimberley,Northern Cape,19/11/2017,paid_search
ZAC0000497,232c08f3a313970e,353,Rustenburg,North West,14/11/2017,organic
ZAC0000501,381981d3ec4b49d8,330,Rustenburg,North West,01/11/2017,referral
ZAC0000530,3a2d216f335448ce,1863,Soweto,Gauteng,15/11/2017,organic
ZAC0000556,a6bc3a6642337228,6005,Port Elizabeth,Eastern Cape,19/11/2017,social
ZAC0000561,c3511d0326a2788b,4004,Durban,KwaZulu-Natal,17/11/2017,affiliate
ZAC0000570,d67de7c225ed8b49,42,Pretoria,Gauteng,15/11/2017,organic
ZAC0000574,81ac3e58c8c69e9d,2200,Sandton,Gauteng,05/11/2017,organic
ZAC0000603,7c5265641f4759e7,752,Polokwane,Limpopo,19/11/2017,referral
ZAC0000677,e1dedc57c4e15ca2,8022,Cape Town,Western Cape,16/11/2017,organic
ZAC0000709,b62abbe4e9e89540,5203,East London,Eastern Cape,04/11/2017,organic
ZAC0000716,be21fb7cf761bf17,43,Pretoria,Gauteng,07/11/2017,social
ZAC0000718,e2e18304c9f4d9c5,9320,Bloemfontein,Free State,07/11/2017,social
ZAC0000719,7d9f223cc09eb745,202,Centurion,Gauteng,23/11/2017,organic
ZAC0000722,6af3a619b32a63a9,1204,Nelspruit,Mpumalanga,21/11/2017,social
ZAC0000730,769bbe1af2af9d05,8307,Kimberley,Northern Cape,27/11/2017,organic
ZAC0000779,dfd356868201338d,31,Pretoria,Gauteng,03/11/2017,organic
