buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000053,055af99e01ce9e50,161,Centurion,Gauteng,19/05/2017,affiliate
ZAC0000077,09e01ed25be1b1d0,3210,Pietermaritzburg,KwaZulu-Natal,30/05/2017,organic
ZAC0000095,36ebbf8014e45d41,55,Pretoria,Gauteng,13/05/2017,affiliate
ZAC0000148,f0f9929523835867,1241,Nelspruit,Mpumalanga,08/05/2017,email
ZAC0000196,d623e1f118f1fee9,21,Pretoria,Gauteng,18/05/2017,referral
ZAC0000256,6c934ab5d77035b0,43,Pretoria,Gauteng,18/05/2017,paid_search
ZAC0000268,61c128098da63254,4048,Durban,KwaZulu-Natal,15/05/2017,affiliate
ZAC0000293,ec293ec23f1b4c3d,9305,Bloemfontein,Free State,18/05/2017,referral
ZAC0000296,f82d18e644c1d11d,9343,Bloemfontein,Free State,19/05/2017,paid_search
ZAC0000329,c896361813c9f62f,1204,Nelspruit,Mpumalanga,15/05/2017,email
ZAC0000427,3bdcfd385d0008ff,1240,Nelspruit,Mpumalanga,02/05/2017,email
ZAC0000479,bfae44cca0c28577,322,Rustenburg,North West,09/05/2017,organic
ZAC0000518,3d7c4f66124c15b3,8013,Cape Town,Western Cape,14/05/2017,referral
ZAC0000536,8d328f40497d8436,1846,Soweto,Gauteng,17/05/2017,affiliate
ZAC0000565,d3513f485c76783a,5209,East London,Eastern Cape,30/05/2017,organic
ZAC0000628,b1e19ba0f8933418,3253,Pietermaritzburg,KwaZulu-Natal,17/05/2017,paid_search
ZAC0000671,b0fc0dcd5241678c,2002,Johannesburg,Gauteng,31/05/2017,paid_search
ZAC0000715,9102ecc6bcbb5ed5,1211,Nelspruit,Mpumalanga,30/05/2017,affiliate
ZAC0000816,4e0389e015c97a1c,3241,Pietermaritzburg,KwaZulu-Natal,11/05/2017,organic
ZAC0000818,9c0960a79aef3223,4034,Durban,KwaZulu-Natal,22/05/2017,social
ZAC0000835,c6e09b0d605a1bbc,6032,Port Elizabeth,Eastern Cape,19/05/2017,organic
ZAC0000868,75fcdc816bce903a,3253,Pietermaritzburg,KwaZulu-Natal,05/05/2017,organic
ZAC0000926,14964719ada979e6,7616,Stellenbosch,Western Cape,23/05/2017,organic
ZAC0000994,b3ca451bcbd9a7b0,748,Polokwane,Limpopo,22/05/2017,paid_search
ZAC0001042,2dd76ad22c6ca1a8,216,Centurion,Gauteng,25/05/2017,social
ZAC0001075,ce7469e6eb1ab06e,1805,Soweto,Gauteng,23/05/2017,paid_search
ZAC0001080,103aaf9d46f001c2,7644,Stellenbosch,Western Cape,26/05/2017,paid_search
ZAC0001154,090e4954577f7a02,6,Pretoria,Gauteng,16/05/2017,referral
ZAC0001202,7f4bcd4d7e81a9ac,356,Rustenburg,North West,20/05/2017,email
ZAC0001216,5ecb4ada92094529,318,Rustenburg,North West,31/05/2017,organic
ZAC0001217,b922270ba112f5df,19,Pretoria,Gauteng,14/05/2017,paid_search
ZAC0001249,edf4f9cf62d4f3fc,304,Rustenburg,North West,20/05/2017,referral
ZAC0001263,17026240cbea7b64,8326,Kimberley,Northern Cape,05/05/2017,affiliate
ZAC0001304,49910bb2b36bfa54,3237,Pietermaritzburg,KwaZulu-Natal,30/05/2017,paid_search
ZAC0001319,cacec93d067d1a2e,8343,Kimberley,Northern Cape,21/05/2017,paid_search
ZAC0001389,87a03b4126ad2e0c,6058,Port Elizabeth,Eastern Cape,07/05/2017,paid_search
ZAC0001421,2c2967a3f7f22cd5,7620,Stellenbosch,Western Cape,15/05/2017,organic
ZAC0001455,a556b6af4ff8bca2,8356,Kimberley,Northern Cape,04/05/2017,paid_search
ZAC0001465,b839f3949e2fbfc1,9310,Bloemfontein,Free State,03/05/2017,organic
ZAC0001508,04b05a6d838b61ba,2215,Sandton,Gauteng,17/05/2017,paid_search
ZAC0001642,eaaaae1e70d4d6f6,38,Pretoria,Gauteng,12/05/2017,affiliate
ZAC0001656,ef51d755bfd4c1c4,2198,Sandton,Gauteng,11/05/2017,organic
ZAC0001671,324b7416a2903aae,4042,Durban,KwaZulu-Natal,27/05/2017,referral
ZAC0001672,3b2e174e140a09f0,1224,Nelspruit,Mpumalanga,26/05/2017,referral
ZAC0001701,049bfeb8c7474052,188,Centurion,Gauteng,11/05/2017,email
ZAC0001732,050ef9a1aee6e732,8319,Kimberley,Northern Cape,09/05/2017,paid_search
ZAC0001760,425099f0ee945451,745,Polokwane,Limpopo,25/05/2017,referral
ZAC0001796,c48b96dca8feb9d1,7618,Stellenbosch,Western Cape,19/05/2017,affiliate
ZAC0001798,f463d8defa511701,8344,Kimberley,Northern Cape,08/05/2017,referral
ZAC0001870,f8511ac2b3746d3b,3220,Pietermaritzburg,KwaZulu-Natal,15/05/2017,social
ZAC0001877,178b70f708fc0f21,8029,Cape Town,Western Cape,16/05/2017,paid_search
ZAC0001919,f5c573b54f4f0fe0,29,Pretoria,Gauteng,08/05/2017,social
ZAC0001929,11706b31a9c520b7,8300,Kimberley,Northern Cape,05/05/2017,organic
ZAC0001952,57f770c14d17e3e0,2011,Johannesburg,Gauteng,08/05/2017,affiliate
ZAC0002150,6d45f18b36b919c8,323,Rustenburg,North West,04/05/2017,social
ZAC0002179,eebddf2aae0f04c7,5249,East London,Eastern Cape,03/05/2017,paid_search
ZAC0002198,a5ad6ffd1c92b8d7,8311,Kimberley,Northern Cape,09/05/2017,organic
ZAC0002249,969896df91ed9419,332,Rustenburg,North West,08/05/2017,email
ZAC0002292,af3d06aaa44b27b9,5230,East London,Eastern Cape,19/05/2017,email
ZAC0002295,4a1d94ed673097d5,300,Rustenburg,North West,03/05/2017,email
ZAC0002331,3a365c50e016340e,9357,Bloemfontein,Free State,06/05/2017,paid_search
ZAC0002361,4f73890ad4eac406,5233,East London,Eastern Cape,10/05/2017,paid_search
ZAC0002404,68116bfda3409349,7636,Stellenbosch,Western Cape,25/05/2017,organic
ZAC0002459,386173b9c2a9ac54,8339,Kimberley,Northern Cape,29/05/2017,social
