buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000012,853992521f291a8a,2042,Johannesburg,Gauteng,03/02/2017,social
ZAC0000252,5b8c9a95158dbd17,45,Pretoria,Gauteng,17/02/2017,social
ZAC0000299,71d964cb8d2e6c0a,354,Rustenburg,North West,20/02/2017,social
ZAC0000431,e26e833406a489d1,2011,Johannesburg,Gauteng,13/02/2017,organic
ZAC0000440,e305b118f027a6b7,357,Rustenburg,North West,18/02/2017,paid_search
ZAC0000506,ab03eb79b92c19af,6012,Port Elizabeth,Eastern Cape,24/02/2017,affiliate
ZAC0000549,b0e05bfaab4e704b,8022,Cape Town,Western Cape,27/02/2017,referral
ZAC0000554,2b572a3f3e4a0c68,5218,East London,Eastern Cape,09/02/2017,paid_search
ZAC0000655,9f04710d27b2d3f2,2021,Johannesburg,Gauteng,03/02/2017,organic
ZAC0000756,6a6907fe3cd1fb30,42,Pretoria,Gauteng,11/02/2017,organic
ZAC0000765,2e2c29e3b2c88a4a,4008,Durban,KwaZulu-Natal,18/02/2017,referral
ZAC0000819,98fd8d7754f138bd,2051,Johannesburg,Gauteng,09/02/2017,paid_search
ZAC0000838,542834628bcf350f,8048,Cape Town,Western Cape,25/02/2017,organic
ZAC0000887,ad2d8e3ab45e1b45,8058,Cape Town,Western Cape,24/02/2017,organic
ZAC0001054,e764963d89684863,8330,Kimberley,Northern Cape,05/02/2017,paid_search
ZAC0001347,8aad1d79252cb48b,752,Polokwane,Limpopo,07/02/2017,organic
ZAC0001405,edea080e35d22bc2,707,Polokwane,Limpopo,15/02/2017,organic
ZAC0001410,ba76fb8bb14826d9,1808,Soweto,Gauteng,01/02/2017,social
ZAC0001493,ba2441f48cf8c869,9340,Bloemfontein,Free State,20/02/2017,organic
ZAC0001534,2c63a74dacb81b5f,321,Rustenburg,North West,01/02/2017,email
ZAC0001573,716cf4c2aac5ad88,5220,East London,Eastern Cape,28/02/2017,referral
ZAC0001614,fa2546fd43d12eb2,9336,Bloemfontein,Free State,28/02/2017,organic
ZAC0001661,08cbcf6301e6cbe8,1804,Soweto,Gauteng,27/02/2017,paid_search
ZAC0001684,d5386e2af1c078bc,7606,Stellenbosch,Western Cape,15/02/2017,social
ZAC0001711,d8da7dd41a5ccad2,751,Polokwane,Limpopo,10/02/2017,paid_search
ZAC0001793,054c21509b6ec570,8001,Cape Town,Western Cape,14/02/2017,email
ZAC0001894,0a08ab897225f5a6,4005,Durban,KwaZulu-Natal,14/02/2017,organic
ZAC0001931,ff0212cc4b171954,1851,Soweto,Gauteng,22/02/2017,referral
ZAC0001980,38749cbdb4b3e556,1224,Nelspruit,Mpumalanga,15/02/2017,email
ZAC0002060,6e168aae07c3476a,4038,Durban,KwaZulu-Natal,07/02/2017,affiliate
ZAC0002087,6d319b5eaf0d9bf1,329,Rustenburg,North West,06/02/2017,organic
ZAC0002191,50b5ce3232ed5916,165,Centurion,Gauteng,07/02/2017,organic
ZAC0002238,b50f65b860f3804b,8345,Kimberley,Northern Cape,27/02/2017,email
ZAC0002366,17bcbba2e80fb1a1,4006,Durban,KwaZulu-Natal,04/02/2017,referral
ZAC0002476,b07a578d73f671b6,6045,Port Elizabeth,Eastern Cape,20/02/2017,social
ZAC0002512,1a4335f9742d0361,8302,Kimberley,Northern Cape,17/02/2017,paid_search
ZAC0002538,f4e93d3ee5612863,9349,Bloemfontein,Free State,19/02/2017,affiliate
ZAC0002585,e4493da5dff0f309,1251,Nelspruit,Mpumalanga,15/02/2017,organic
ZAC0002611,6f3ab18122eca16c,1807,Soweto,Gauteng,12/02/2017,social
