buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000008,10d7735c45d2e431,1833,Soweto,Gauteng,10/08/2018,organic
ZAC0000009,a54308e7d2030926,2030,Johannesburg,Gauteng,17/08/2018,social
ZAC0000018,b970fee49430465b,5236,East London,Eastern Cape,17/08/2018,paid_search
ZAC0000036,96e1d973a390788a,3203,Pietermaritzburg,KwaZulu-Natal,10/08/2018,organic
ZAC0000039,d8165fed361a9fce,2032,Johannesburg,Gauteng,14/08/2018,email
ZAC0000044,67a893fdd8ca9262,5253,East London,Eastern Cape,29/08/2018,email
ZAC0000046,36d5b88594d78b6e,7622,Stellenbosch,Western Cape,23/08/2018,paid_search
ZAC0000049,827cce13a4aae944,2038,Johannesburg,Gauteng,07/08/2018,organic
ZAC0000100,8b93685db5e9d9b3,6023,Port Elizabeth,Eastern Cape,12/08/2018,referral
ZAC0000109,3294fd8772c41906,9333,Bloemfontein,Free State,30/08/2018,organic
ZAC0000118,735cba205e569093,729,Polokwane,Limpopo,31/08/2018,social
ZAC0000137,a32eb9007b004f07,6031,Port Elizabeth,Eastern Cape,27/08/2018,paid_search
ZAC0000169,28ea7cf7d5e9297e,13,Pretoria,Gauteng,05/08/2018,social
ZAC0000179,6582019e102928c3,2050,Johannesburg,Gauteng,28/08/2018,social
ZAC0000185,368ecab1d88f2d3c,750,Polokwane,Limpopo,16/08/2018,organic
ZAC0000225,5824369a3b57b044,2218,Sandton,Gauteng,31/08/2018,social
ZAC0000254,c7a90d79efc07e2f,44,Pretoria,Gauteng,08/08/2018,paid_search
ZAC0000262,8c1e8d3bc3843a40,2200,Sandton,Gauteng,19/08/2018,organic
ZAC0000305,a1e9c82ed4d8496c,5257,East London,Eastern Cape,19/08/2018,organic
ZAC0000313,87a7f29493b9551e,2059,Johannesburg,Gauteng,17/08/2018,social
ZAC0000332,b68263a1703b0485,7650,Stellenbosch,Western Cape,04/08/2018,paid_search
ZAC0000344,aebc4cb1e3f15326,198,Centurion,Gauteng,25/08/2018,organic
ZAC0000347,7c15f4a0f642852b,3228,Pietermaritzburg,KwaZulu-Natal,22/08/2018,email
ZAC0000356,0ae8c9fb0013ef2a,167,Centurion,Gauteng,06/08/2018,email
ZAC0000367,70cd4e5adc01e97c,1854,Soweto,Gauteng,13/08/2018,social
ZAC0000392,06bd28c8fe272354,8334,Kimberley,Northern Cape,01/08/2018,organic
ZAC0000403,1a6573d3edbeb8d3,721,Polokwane,Limpopo,21/08/2018,paid_search
ZAC0000405,1bc78fbacffa5bf4,46,Pretoria,Gauteng,27/08/2018,paid_search
ZAC0000437,af060018859bdfbe,721,Polokwane,Limpopo,12/08/2018,organic
ZAC0000528,dcae3999a81f5db4,1849,Soweto,Gauteng,09/08/2018,affiliate
ZAC0000557,c07036298d8b30b0,7600,Stellenbosch,Western Cape,24/08/2018,organic
ZAC0000573,174e64d4089aec25,199,Centurion,Gauteng,27/08/2018,social
ZAC0000580,06886e3d8a9ae147,2052,Johannesburg,Gauteng,17/08/2018,social
ZAC0000585,0bcc4c0df66a3f8d,212,Centurion,Gauteng,25/08/2018,organic
ZAC0000623,b8ecdd35c5be7ec7,1243,Nelspruit,Mpumalanga,13/08/2018,organic
ZAC0000624,c4ff9da145d89dd4,329,Rustenburg,North West,30/08/2018,paid_search
ZAC0000647,b1469fae39de8b65,7609,Stellenbosch,Western Cape,23/08/2018,email
ZAC0000648,a4086b5118f4afbf,7645,Stellenbosch,Western Cape,12/08/2018,paid_search
ZAC0000649,7b4ffc041b660b92,4036,Durban,KwaZulu-Natal,18/08/2018,email
ZAC0000660,baabce99dba9f17a,6,Pretoria,Gauteng,05/08/2018,paid_search
ZAC0000667,12b063486b0b06fa,9320,Bloemfontein,Free State,22/08/2018,referral
ZAC0000675,bade2d27cd50d4d6,717,Polokwane,Limpopo,14/08/2018,affiliate
ZAC0000680,dc84c76f9092265c,2235,Sandton,Gauteng,26/08/2018,paid_search
ZAC0000689,1c3e713b886bdda7,5230,East London,Eastern Cape,14/08/2018,organic
ZAC0000717,2f2eeda8ef76d075,351,Rustenburg,North West,07/08/2018,affiliate
ZAC0000728,5660e458b0e75239,1840,Soweto,Gauteng,21/08/2018,paid_search
ZAC0000741,aa7dd51af887fd5f,331,Rustenburg,North West,23/08/2018,referral
ZAC0000762,77d211a207e53499,8044,Cape Town,Western Cape,18/08/2018,referral
ZAC0000769,9d2395b3be752174,5248,East London,Eastern Cape,16/08/2018,organic
ZAC0000782,babfc1db59dd797e,6005,Port Elizabeth,Eastern Cape,03/08/2018,referral
ZAC0000784,59621f4b821d80e2,1856,Soweto,Gauteng,19/08/2018,referral
ZAC0000792,3936f9d6805ddc16,164,Centurion,Gauteng,16/08/2018,organic
ZAC0000796,9cbb69b28da77b4f,717,Polokwane,Limpopo,16/08/2018,social
ZAC0000801,e4880f77e89546a3,720,Polokwane,Limpopo,30/08/2018,social
ZAC0000824,449f9f45ecabd4d1,8046,Cape Town,Western Cape,24/08/2018,referral
ZAC0000833,3b7622e98b198104,5208,East London,Eastern Cape,15/08/2018,social
ZAC0000861,7c138b01954b43d5,4019,Durban,KwaZulu-Natal,26/08/2018,paid_search
ZAC0000863,d6aafbb3152bf43f,8008,Cape Town,Western Cape,25/08/2018,organic
ZAC0000888,f78a96485b681d40,1811,Soweto,Gauteng,28/08/2018,paid_search
ZAC0000907,10460ab6eee3e10e,9331,Bloemfontein,Free State,31/08/2018,organic
ZAC0000917,f11b574dffb08040,18,Pretoria,Gauteng,29/08/2018,referral
ZAC0000953,5fef70086e4daf37,8329,Kimberley,Northern Cape,18/08/2018,paid_search
ZAC0000957,7558ff82fb19bca2,40,Pretoria,Gauteng,23/08/2018,paid_search
ZAC0000959,e7fb3c2fc3ae3afd,718,Polokwane,Limpopo,14/08/2018,email
ZAC0000966,cdaff4cee978542d,9317,Bloemfontein,Free State,27/08/2018,referral
ZAC0000972,4dd7440d10b2b90e,1829,Soweto,Gauteng,19/08/2018,organic
ZAC0000988,850a1f5eb91d2ac2,176,Centurion,Gauteng,05/08/2018,organic
ZAC0000993,57a561c3c2991207,2221,Sandton,Gauteng,11/08/2018,organic
ZAC0001020,ace69dda56626bad,7646,Stellenbosch,Western Cape,21/08/2018,email
ZAC0001034,1141bca6ebc27253,2219,Sandton,Gauteng,01/08/2018,affiliate
ZAC0001055,33ca02d58c6b8cb1,13,Pretoria,Gauteng,27/08/2018,organic
ZAC0001140,4ee5f5768d4f38cc,9356,Bloemfontein,Free State,30/08/2018,paid_search
ZAC0001160,01f984346594c43a,8017,Cape Town,Western Cape,19/08/2018,social
ZAC0001175,98de99f9f8781d0c,751,Polokwane,Limpopo,25/08/2018,paid_search
ZAC0001207,6e424ea9ca63a2bd,1206,Nelspruit,Mpumalanga,19/08/2018,organic
ZAC0001227,7ffcffdba8537a9a,7627,Stellenbosch,Western Cape,18/08/2018,affiliate
ZAC0001250,ba6426eda7f82b3f,6052,Port Elizabeth,Eastern Cape,26/08/2018,referral
ZAC0001256,2bb885d927e9e293,18,Pretoria,Gauteng,14/08/2018,paid_search
ZAC0001257,2c89bdb11b595424,8051,Cape Town,Western Cape,13/08/2018,organic
ZAC0001275,c1fb034c3c4b0a30,6049,Port Elizabeth,Eastern Cape,21/08/2018,social
ZAC0001299,57f9693af0f305ce,1209,Nelspruit,Mpumalanga,21/08/2018,organic
ZAC0001308,768979e2c607a4fc,5227,East London,Eastern Cape,20/08/2018,organic
ZAC0001326,41de248da220c089,2244,Sandton,Gauteng,13/08/2018,paid_search
ZAC0001332,474b32b88307f8e0,2047,Johannesburg,Gauteng,17/08/2018,paid_search
ZAC0001334,e0b10ca482fce935,3234,Pietermaritzburg,KwaZulu-Natal,16/08/2018,paid_search
ZAC0001359,ad1ae8653fa9d1ea,8358,Kimberley,Northern Cape,07/08/2018,email
ZAC0001361,de5bbb965d8d819d,5254,East London,Eastern Cape,22/08/2018,organic
ZAC0001372,5b484941f46f9e57,713,Polokwane,Limpopo,11/08/2018,social
ZAC0001406,ac1a8fdd1906c050,2041,Johannesburg,Gauteng,26/08/2018,social
ZAC0001413,64098d7d454e218c,4000,Durban,KwaZulu-Natal,14/08/2018,social
ZAC0001448,8a52496cc832c2d8,7600,Stellenbosch,Western Cape,06/08/2018,organic
ZAC0001476,52388502494a4189,8045,Cape Town,Western Cape,25/08/2018,affiliate
ZAC0001497,4ad83ea16f9d29a9,2254,Sandton,Gauteng,19/08/2018,organic
ZAC0001507,07b40580d8510a82,9352,Bloemfontein,Free State,29/08/2018,organic
ZAC0001550,484c36345d9b9726,7604,Stellenbosch,Western Cape,20/08/2018,social
ZAC0001569,d37ab0df7e08b096,7605,Stellenbosch,Western Cape,05/08/2018,organic
ZAC0001585,8ca009a9c332f097,9353,Bloemfontein,Free State,14/08/2018,referral
ZAC0001586,89dce134e5fa43c0,2251,Sandton,Gauteng,14/08/2018,paid_search
ZAC0001609,29015116917febe5,31,Pretoria,Gauteng,19/08/2018,social
ZAC0001618,4602d565a56a3c62,6009,Port Elizabeth,Eastern Cape,29/08/2018,social
ZAC0001633,5b51aef8144d5b34,5222,East London,Eastern Cape,10/08/2018,paid_search
ZAC0001635,dcb1b54f5aa17a53,7608,Stellenbosch,Western Cape,18/08/2018,social
ZAC0001638,de768ed9950e758d,313,Rustenburg,North West,16/08/2018,organic
ZAC0001644,a80da2070bf77510,1232,Nelspruit,Mpumalanga,09/08/2018,referral
ZAC0001662,c77ea1feffa2fbab,3237,Pietermaritzburg,KwaZulu-Natal,16/08/2018,referral
ZAC0001673,f5b3ce30c9368669,2204,Sandton,Gauteng,09/08/2018,social
ZAC0001677,18cd30c9d0358172,5235,East London,Eastern Cape,23/08/2018,organic
ZAC0001686,0a8bbb24168bde2e,733,Polokwane,Limpopo,19/08/2018,organic
ZAC0001691,56bf93b391626314,6028,Port Elizabeth,Eastern Cape,06/08/2018,referral
ZAC0001717,49d03667bebdc09d,5245,East London,Eastern Cape,02/08/2018,paid_search
ZAC0001724,dd2c40b1cbc06036,5202,East London,Eastern Cape,05/08/2018,social
ZAC0001731,1ff5b025b5a5b4c8,2028,Johannesburg,Gauteng,24/08/2018,social
ZAC0001744,a9c675397dc195c6,4027,Durban,KwaZulu-Natal,12/08/2018,email
ZAC0001752,4057f1cc6743844a,1804,Soweto,Gauteng,11/08/2018,organic
ZAC0001768,7e8e372742828eaa,9346,Bloemfontein,Free State,02/08/2018,paid_search
ZAC0001774,ddb26780cc7e4d21,1849,Soweto,Gauteng,22/08/2018,referral
ZAC0001785,3f4661d7549b3f91,8008,Cape Town,Western Cape,04/08/2018,referral
ZAC0001791,3132df1211f97035,724,Polokwane,Limpopo,14/08/2018,referral
ZAC0001811,e821dddeaf135f01,1227,Nelspruit,Mpumalanga,06/08/2018,organic
ZAC0001830,ce422a07670cfcc1,4057,Durban,KwaZulu-Natal,29/08/2018,social
ZAC0001839,ddfe31b45994483d,9356,Bloemfontein,Free State,06/08/2018,referral
ZAC0001859,25fc8cc01fcfd5e0,1834,Soweto,Gauteng,17/08/2018,referral
ZAC0001892,70820c8da3f1e9c2,5230,East London,Eastern Cape,03/08/2018,social
ZAC0001928,df7890fd6fe354dd,3216,Pietermaritzburg,KwaZulu-Natal,04/08/2018,paid_search
ZAC0001932,dd28b3fc98461dd8,57,Pretoria,Gauteng,25/08/2018,social
ZAC0001933,0d4bc80d05cde81e,8348,Kimberley,Northern Cape,30/08/2018,social
ZAC0001956,71a7c14a2ae52f9a,2253,Sandton,Gauteng,07/08/2018,email
ZAC0001966,c77bceff7eaeaf60,1821,Soweto,Gauteng,12/08/2018,email
ZAC0001986,4d868b1233a3528c,16,Pretoria,Gauteng,27/08/2018,social
ZAC0002009,74d6b7e6ac8d17e2,7655,Stellenbosch,Western Cape,14/08/2018,social
ZAC0002014,0a4a6fc05e3169b1,2044,Johannesburg,Gauteng,05/08/2018,paid_search
ZAC0002017,6c643da6cbcad226,2025,Johannesburg,Gauteng,20/08/2018,paid_search
ZAC0002048,d468842e2172988b,2021,Johannesburg,Gauteng,09/08/2018,affiliate
ZAC0002052,e834bf10e9dcb0ef,25,Pretoria,Gauteng,03/08/2018,paid_search
ZAC0002055,1cff689907f9e7ac,1853,Soweto,Gauteng,12/08/2018,email
ZAC0002058,505dd55a7021bbbc,8040,Cape Town,Western Cape,20/08/2018,social
ZAC0002089,13ba78905d30bc75,9341,Bloemfontein,Free State,06/08/2018,organic
ZAC0002092,7296aa755f8ad925,9341,Bloemfontein,Free State,03/08/2018,social
ZAC0002117,3c0606851f8e5299,4012,Durban,KwaZulu-Natal,30/08/2018,email
ZAC0002119,e4c3ae59114d3cbb,9348,Bloemfontein,Free State,29/08/2018,referral
ZAC0002129,0fe448cb2b18e0c8,9301,Bloemfontein,Free State,16/08/2018,organic
ZAC0002135,1ab8fe3700a97a3f,1856,Soweto,Gauteng,18/08/2018,paid_search
ZAC0002141,71d456eec9c064c5,3247,Pietermaritzburg,KwaZulu-Natal,10/08/2018,paid_search
ZAC0002147,7aa4e3fdf6d8c6bb,1825,Soweto,Gauteng,14/08/2018,email
ZAC0002172,3e9a8ad352c069b1,2232,Sandton,Gauteng,18/08/2018,paid_search
ZAC0002184,a758325cacce1e89,338,Rustenburg,North West,25/08/2018,paid_search
ZAC0002199,72f1e977008940ab,206,Centurion,Gauteng,02/08/2018,referral
ZAC0002215,4c67d49e84b76387,2029,Johannesburg,Gauteng,03/08/2018,organic
ZAC0002237,9ff265b6475fa457,1811,Soweto,Gauteng,06/08/2018,social
ZAC0002250,cb6aa140e22ef665,4032,Durban,KwaZulu-Natal,26/08/2018,social
ZAC0002255,8cbdfff498031cc2,9,Pretoria,Gauteng,11/08/2018,organic
ZAC0002282,965609357f021a80,8052,Cape Town,Western Cape,06/08/2018,social
ZAC0002296,7048444e693fd39e,2004,Johannesburg,Gauteng,24/08/2018,paid_search
ZAC0002309,9d1b8b80aa1f4014,2243,Sandton,Gauteng,19/08/2018,referral
ZAC0002313,503620fb60dca6ec,6034,Port Elizabeth,Eastern Cape,27/08/2018,affiliate
ZAC0002314,e2e22eae0929a55d,1203,Nelspruit,Mpumalanga,22/08/2018,organic
ZAC0002337,fe8aaee31fc2ef28,5254,East London,Eastern Cape,05/08/2018,email
ZAC0002351,c6aeab14b6f8f96a,181,Centurion,Gauteng,21/08/2018,referral
ZAC0002354,dc918123ce487638,2018,Johannesburg,Gauteng,26/08/2018,paid_search
ZAC0002367,32e52dd6aa4645da,8329,Kimberley,Northern Cape,01/08/2018,organic
ZAC0002370,1ac7ba0c2bf26577,7658,Stellenbosch,Western Cape,26/08/2018,organic
ZAC0002382,4188d49f4b052994,311,Rustenburg,North West,04/08/2018,organic
ZAC0002400,e382979a895b37d3,7611,Stellenbosch,Western Cape,19/08/2018,email
ZAC0002405,206be20511b89f66,1822,Soweto,Gauteng,17/08/2018,social
ZAC0002410,423339172a9b63f0,2255,Sandton,Gauteng,28/08/2018,referral
ZAC0002416,cf6c760a8ae1c9b9,2056,Johannesburg,Gauteng,28/08/2018,email
ZAC0002420,bbb840a2a5fc75dc,2202,Sandton,Gauteng,25/08/2018,email
ZAC0002430,279f5f1416bdc88a,757,Polokwane,Limpopo,23/08/2018,paid_search
ZAC0002453,0e0924ded9eec836,714,Polokwane,Limpopo,28/08/2018,social
ZAC0002455,0a6e12bdcf1a2a41,7619,Stellenbosch,Western Cape,30/08/2018,email
