buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000056,57b75c0fa2f2d3f9,1816,Soweto,Gauteng,18/07/2017,paid_search
ZAC0000080,26545115c2965edc,8357,Kimberley,Northern Cape,05/07/2017,email
ZAC0000122,b7a5464c0d86f441,3241,Pietermaritzburg,KwaZulu-Natal,25/07/2017,paid_search
ZAC0000123,5d12a8f89da338ae,1810,Soweto,Gauteng,27/07/2017,organic
ZAC0000136,21b6436680be8ee7,322,Rustenburg,North West,01/07/2017,paid_search
ZAC0000151,7c61ae404e29ade6,3211,Pietermaritzburg,KwaZulu-Natal,19/07/2017,social
ZAC0000193,9520eca05c0bea18,2048,Johannesburg,Gauteng,30/07/2017,paid_search
ZAC0000217,72f6b89d33913d52,2026,Johannesburg,Gauteng,30/07/2017,social
ZAC0000222,8a6024628fb1de08,715,Polokwane,Limpopo,09/07/2017,social
ZAC0000259,784a0775d76afafa,4044,Durban,KwaZulu-Natal,14/07/2017,social
ZAC0000282,2fc0ec8195e81b75,8014,Cape Town,Western Cape,16/07/2017,organic
ZAC0000289,9b995fae9de1ba32,8043,Cape Town,Western Cape,15/07/2017,organic
ZAC0000310,3d38d7a3e70ebda6,193,Centurion,Gauteng,08/07/2017,organic
ZAC0000342,e3c3535004edbccb,1236,Nelspruit,Mpumalanga,16/07/2017,organic
ZAC0000368,c7f92c022f728cec,1817,Soweto,Gauteng,22/07/2017,email
ZAC0000449,52006e2874951689,6011,Port Elizabeth,Eastern Cape,21/07/2017,social
ZAC0000514,35f686826a303f92,9353,Bloemfontein,Free State,24/07/2017,affiliate
ZAC0000537,6b32f06a7693104e,7621,Stellenbosch,Western Cape,21/07/2017,organic
ZAC0000562,fc37a81c6a256f73,3207,Pietermaritzburg,KwaZulu-Natal,02/07/2017,paid_search
ZAC0000591,cc27107715a2000b,8039,Cape Town,Western Cape,12/07/2017,social
ZAC0000619,e90e29577abac238,2023,Johannesburg,Gauteng,25/07/2017,email
ZAC0000629,f47c6d6f461b2e70,6039,Port Elizabeth,Eastern Cape,13/07/2017,affiliate
ZAC0000635,f680be9c4532de96,8024,Cape Town,Western Cape,08/07/2017,social
ZAC0000646,2c224f5c0f64c954,30,Pretoria,Gauteng,28/07/2017,referral
ZAC0000662,3b8d4f434f4ad3c2,4039,Durban,KwaZulu-Natal,26/07/2017,paid_search
ZAC0000666,66001823c0e71036,1211,Nelspruit,Mpumalanga,27/07/2017,social
ZAC0000672,8cf85fccf62a3ca6,4013,Durban,KwaZulu-Natal,16/07/2017,social
ZAC0000766,d497ca78c2e5145a,757,Polokwane,Limpopo,25/07/2017,email
ZAC0000776,7b17314031e21427,1217,Nelspruit,Mpumalanga,12/07/2017,paid_search
ZAC0000827,a8025a17445d4a2a,4009,Durban,KwaZulu-Natal,08/07/2017,email
ZAC0000847,35a8fe37f35a3a4a,4039,Durban,KwaZulu-Natal,15/07/2017,organic
ZAC0000873,0541346866cdfdb3,205,Centurion,Gauteng,18/07/2017,referral
ZAC0000886,8e27efa084585b91,8331,Kimberley,Northern Cape,07/07/2017,organic
ZAC0000922,7abe078dc707d681,8044,Cape Town,Western Cape,10/07/2017,organic
