buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000015,8efb6969faf220d6,3246,Pietermaritzburg,KwaZulu-Natal,03/10/2018,organic
ZAC0000031,42360c33e9538a0f,9358,Bloemfontein,Free State,06/10/2018,social
ZAC0000082,c379ebc0f88982f5,5233,East London,Eastern Cape,23/10/2018,email
ZAC0000093,bde2003b99055b91,30,Pretoria,Gauteng,12/10/2018,organic
ZAC0000112,e15b614c5584303d,1223,Nelspruit,Mpumalanga,21/10/2018,referral
ZAC0000115,ea6dacfac3cd2640,2198,Sandton,Gauteng,16/10/2018,social
ZAC0000133,2eb3cd862351fa07,4056,Durban,KwaZulu-Natal,27/10/2018,social
ZAC0000140,e31c7ed9e0691e8a,4043,Durban,KwaZulu-Natal,08/10/2018,affiliate
ZAC0000173,e0b129958b8a5a81,2052,Johannesburg,Gauteng,30/10/2018,email
ZAC0000176,998c518acd86482e,8053,Cape Town,Western Cape,07/10/2018,paid_search
ZAC0000191,9d770ffee8e062a7,1236,Nelspruit,Mpumalanga,24/10/2018,organic
ZAC0000240,aa410541076d9066,205,Centurion,Gauteng,11/10/2018,referral
ZAC0000255,9a97ab7fa2ded676,6027,Port Elizabeth,Eastern Cape,15/10/2018,organic
ZAC0000270,f05b3267215ecad2,6026,Port Elizabeth,Eastern Cape,02/10/2018,organic
ZAC0000294,2323cea3e7a28912,8312,Kimberley,Northern Cape,29/10/2018,email
ZAC0000309,d967d784c2631100,8028,Cape Town,Western Cape,01/10/2018,organic
ZAC0000314,1e901cba2f51c8ea,1221,Nelspruit,Mpumalanga,12/10/2018,paid_search
ZAC0000324,f23f37e966cb3bba,9304,Bloemfontein,Free State,08/10/2018,social
ZAC0000336,2f57ccb6c2fb6dc0,1209,Nelspruit,Mpumalanga,12/10/2018,paid_search
ZAC0000340,06f5c4fce7ab673c,2008,Johannesburg,Gauteng,03/10/2018,paid_search
ZAC0000373,783efc3459d77931,7644,Stellenbosch,Western Cape,30/10/2018,paid_search
ZAC0000382,f5b00b9b0d1b93a5,1236,Nelspruit,Mpumalanga,25/10/2018,organic
ZAC0000386,36d4ee99b81c4c9a,174,Centurion,Gauteng,06/10/2018,organic
ZAC0000410,4bfb93f0d0fe6502,2209,Sandton,Gauteng,19/10/2018,paid_search
ZAC0000411,12fb8c75d9f3d7da,7632,Stellenbosch,Western Cape,15/10/2018,paid_search
ZAC0000412,e9038e991ded02d4,7618,Stellenbosch,Western Cape,13/10/2018,paid_search
ZAC0000413,d534b2774a73c44a,8342,Kimberley,Northern Cape,16/10/2018,email
ZAC0000421,237aed755f8f7a35,750,Polokwane,Limpopo,27/10/2018,paid_search
ZAC0000465,6ead3efebdfb063d,323,Rustenburg,North West,22/10/2018,paid_search
ZAC0000474,3b57b3c5b45c723e,353,Rustenburg,North West,27/10/2018,referral
ZAC0000487,16a6de5478c7790b,8007,Cape Town,Western Cape,11/10/2018,paid_search
ZAC0000491,f51635f19d519352,758,Polokwane,Limpopo,10/10/2018,organic
ZAC0000493,c2198caf015b5ad5,3247,Pietermaritzburg,KwaZulu-Natal,22/10/2018,organic
ZAC0000504,8861e077d8424961,6001,Port Elizabeth,Eastern Cape,19/10/2018,organic
ZAC0000511,18ab8760b75c9d3c,9337,Bloemfontein,Free State,13/10/2018,social
ZAC0000512,d14160bc40867a4a,2042,Johannesburg,Gauteng,01/10/2018,paid_search
ZAC0000541,95e76b505866c6f8,2022,Johannesburg,Gauteng,12/10/2018,social
ZAC0000563,982844b13f325b80,5238,East London,Eastern Cape,06/10/2018,organic
ZAC0000571,1e4168a6a705827c,1853,Soweto,Gauteng,19/10/2018,email
ZAC0000586,2998a849b34dce41,2254,Sandton,Gauteng,18/10/2018,organic
ZAC0000592,d7de16102d300403,1845,Soweto,Gauteng,28/10/2018,social
ZAC0000598,e4a2fdd231f0f053,304,Rustenburg,North West,04/10/2018,paid_search
ZAC0000599,216384c675d56c12,328,Rustenburg,North West,23/10/2018,referral
ZAC0000620,ec2801a3263bc34f,315,Rustenburg,North West,07/10/2018,organic
ZAC0000626,56b34c4d6017bf10,7627,Stellenbosch,Western Cape,26/10/2018,email
ZAC0000632,c01f09c1e4bb1651,8020,Cape Town,Western Cape,11/10/2018,organic
ZAC0000643,699b6401b6734e15,304,Rustenburg,North West,30/10/2018,paid_search
ZAC0000665,a99c786ed657505a,202,Centurion,Gauteng,10/10/2018,social
ZAC0000694,f09663b183bb47ba,335,Rustenburg,North West,01/10/2018,paid_search
ZAC0000720,5eb65ef06e9d7511,50,Pretoria,Gauteng,02/10/2018,social
ZAC0000737,120d6540a7d98cc9,8032,Cape Town,Western Cape,27/10/2018,social
ZAC0000742,f1a3b9e12beed194,3208,Pietermaritzburg,KwaZulu-Natal,20/10/2018,social
ZAC0000751,c4f35cc527b1acc9,8009,Cape Town,Western Cape,05/10/2018,paid_search
ZAC0000752,6be443fd0dba11e4,3222,Pietermaritzburg,KwaZulu-Natal,15/10/2018,email
ZAC0000757,fab2c66a2cd6cc81,1827,Soweto,Gauteng,13/10/2018,paid_search
