buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000006,adeeaf80af67860d,9307,Bloemfontein,Free State,11/06/2018,affiliate
ZAC0000026,504f32018f8310e0,6025,Port Elizabeth,Eastern Cape,02/06/2018,social
ZAC0000035,360530541ac4b444,2222,Sandton,Gauteng,05/06/2018,paid_search
ZAC0000064,a0b4f5278bc31ad8,158,Centurion,Gauteng,18/06/2018,social
ZAC0000065,6c715e7ac7d3fc83,7648,Stellenbosch,Western Cape,12/06/2018,social
ZAC0000101,b103cff4c4f9986c,6014,Port Elizabeth,Eastern Cape,28/06/2018,email
ZAC0000127,97172e33630ddb27,1843,Soweto,Gauteng,17/06/2018,referral
ZAC0000143,4215ec87d5667ddc,187,Centurion,Gauteng,18/06/2018,social
ZAC0000152,4a97f37adab941b7,8333,Kimberley,Northern Cape,09/06/2018,email
ZAC0000155,db7235735816378e,1231,Nelspruit,Mpumalanga,12/06/2018,referral
ZAC0000164,41b5c79212436bdb,8331,Kimberley,Northern Cape,13/06/2018,paid_search
ZAC0000171,1cb70378bfe89725,7629,Stellenbosch,Western Cape,03/06/2018,organic
ZAC0000175,e7b8487f7c990a15,4050,Durban,KwaZulu-Natal,26/06/2018,social
ZAC0000186,020785e32404b2fa,8046,Cape Town,Western Cape,24/06/2018,social
ZAC0000187,03c427647c4bda85,1217,Nelspruit,Mpumalanga,20/06/2018,paid_search
ZAC0000200,6bfe9b3cb1504455,1833,Soweto,Gauteng,17/06/2018,social
ZAC0000207,a85f4953ec82e857,5255,East London,Eastern Cape,27/06/2018,email
ZAC0000213,1728124005cf1d2b,2203,Sandton,Gauteng,20/06/2018,referral
ZAC0000233,17f7ac9713ba7bc2,6021,Port Elizabeth,Eastern Cape,20/06/2018,social
ZAC0000264,70c7fac82837e201,2216,Sandton,Gauteng,17/06/2018,email
ZAC0000271,5543631d5d19b42f,7605,Stellenbosch,Western Cape,05/06/2018,social
ZAC0000274,b165bb0a13ee601a,1859,Soweto,Gauteng,02/06/2018,referral
ZAC0000287,7a514f2ad45f3956,2052,Johannesburg,Gauteng,03/06/2018,organic
ZAC0000292,8bb729d6922cc4c0,2053,Johannesburg,Gauteng,28/06/2018,organic
ZAC0000401,427811b7d963704b,1227,Nelspruit,Mpumalanga,09/06/2018,paid_search
ZAC0000404,a1714d9d50e3bec0,1805,Soweto,Gauteng,07/06/2018,social
ZAC0000422,b9eae233d1a5fa5d,26,Pretoria,Gauteng,17/06/2018,paid_search
ZAC0000454,155faa6166b4a01b,8014,Cape Town,Western Cape,03/06/2018,paid_search
ZAC0000464,7be3bb206a8b4574,3238,Pietermaritzburg,KwaZulu-Natal,25/06/2018,organic
ZAC0000467,f822e927bb182a0f,321,Rustenburg,North West,02/06/2018,organic
ZAC0000471,299bba3dcd420a13,2042,Johannesburg,Gauteng,28/06/2018,organic
ZAC0000481,65ee95da174db397,7617,Stellenbosch,Western Cape,06/06/2018,referral
ZAC0000482,bb730adadb24f788,3210,Pietermaritzburg,KwaZulu-Natal,16/06/2018,paid_search
ZAC0000486,10e2a97ae61458e4,9330,Bloemfontein,Free State,27/06/2018,email
ZAC0000508,626eeed4e3057756,2040,Johannesburg,Gauteng,25/06/2018,social
ZAC0000509,5703921df5d36680,717,Polokwane,Limpopo,28/06/2018,referral
ZAC0000523,77f37811d0fae01d,6036,Port Elizabeth,Eastern Cape,15/06/2018,paid_search
ZAC0000526,943012b67c717bd2,8049,Cape Town,Western Cape,03/06/2018,referral
ZAC0000531,ca243ab912dfbab7,8301,Kimberley,Northern Cape,14/06/2018,paid_search
ZAC0000569,85a2a4771bb2c9a3,8354,Kimberley,Northern Cape,09/06/2018,affiliate
ZAC0000578,06dfc3be14eda8b8,300,Rustenburg,North West,18/06/2018,referral
ZAC0000584,76563141dcedb6cf,5236,East London,Eastern Cape,06/06/2018,social
ZAC0000595,a91c29b8a814cba8,7622,Stellenbosch,Western Cape,19/06/2018,affiliate
ZAC0000609,41b0d8086000e6a6,1858,Soweto,Gauteng,15/06/2018,referral
ZAC0000611,6dc7b0e68929b645,743,Polokwane,Limpopo,10/06/2018,paid_search
ZAC0000627,0fd71adfba4a402f,2244,Sandton,Gauteng,30/06/2018,organic
ZAC0000631,d1c6ec9c12d69ff0,6018,Port Elizabeth,Eastern Cape,18/06/2018,organic
ZAC0000644,b5d03d09c2ea49b9,9355,Bloemfontein,Free State,18/06/2018,organic
ZAC0000659,8d1b530df8597677,8008,Cape Town,Western Cape,03/06/2018,organic
ZAC0000693,3a0ede48f16370c1,9357,Bloemfontein,Free State,06/06/2018,social
ZAC0000702,c7be75059c9af14a,6032,Port Elizabeth,Eastern Cape,19/06/2018,paid_search
ZAC0000755,7d6decf49b535459,7605,Stellenbosch,Western Cape,03/06/2018,social
ZAC0000797,b7894ab688e2ba17,3240,Pietermaritzburg,KwaZulu-Natal,30/06/2018,affiliate
ZAC0000822,7cb373d620ff84e1,320,Rustenburg,North West,14/06/2018,email
ZAC0000834,7b4da0059c39a2b2,9314,Bloemfontein,Free State,11/06/2018,referral
ZAC0000854,b3f210954b1dae78,4027,Durban,KwaZulu-Natal,13/06/2018,paid_search
ZAC0000871,0aff3a59fa84454c,8340,Kimberley,Northern Cape,21/06/2018,paid_search
ZAC0000884,bee49d29e3b250db,356,Rustenburg,North West,25/06/2018,social
