buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000007,ea8391c61d816d90,6018,Port Elizabeth,Eastern Cape,03/03/2017,referral
ZAC0000085,a48f0d5600811edc,732,Polokwane,Limpopo,26/03/2017,social
ZAC0000110,05177fd598119c81,5222,East London,Eastern Cape,27/03/2017,organic
ZAC0000190,ae666d610e449c35,3213,Pietermaritzburg,KwaZulu-Natal,31/03/2017,referral
ZAC0000258,34fcbba8447bc6da,2204,Sandton,Gauteng,02/03/2017,social
ZAC0000260,f2605862275e66f1,3218,Pietermaritzburg,KwaZulu-Natal,17/03/2017,referral
ZAC0000361,ffe3f0304b217fcd,2018,Johannesburg,Gauteng,23/03/2017,paid_search
ZAC0000379,59d0b8f7d9144163,5211,East London,Eastern Cape,06/03/2017,paid_search
ZAC0000399,9665f4f26ed9a616,5210,East London,Eastern Cape,19/03/2017,paid_search
ZAC0000417,ce4844c6ddda9cbd,172,Centurion,Gauteng,17/03/2017,referral
ZAC0000424,7f42552aa65d5c13,19,Pretoria,Gauteng,14/03/2017,organic
ZAC0000430,58f978b38595342c,8055,Cape Town,Western Cape,01/03/2017,paid_search
ZAC0000451,59c73dd50a00231d,3223,Pietermaritzburg,KwaZulu-Natal,26/03/2017,organic
ZAC0000564,efd8daf024a7dd6d,6047,Port Elizabeth,Eastern Cape,26/03/2017,organic
ZAC0000656,061ef13f60a79eec,1,Pretoria,Gauteng,28/03/2017,organic
ZAC0000678,fbad05cb58cc4003,2036,Johannesburg,Gauteng,27/03/2017,email
ZAC0000698,ef1dfae6732a99ad,9325,Bloemfontein,Free State,22/03/2017,social
ZAC0000764,16c54c8c37fcd7c5,9345,Bloemfontein,Free State,22/03/2017,social
ZAC0000889,82f44b9109f16494,4015,Durban,KwaZulu-Natal,13/03/2017,organic
ZAC0000903,323c84954fc08d15,5208,East London,Eastern Cape,04/03/2017,affiliate
ZAC0000919,9d62f7d582c52142,6041,Port Elizabeth,Eastern Cape,05/03/2017,paid_search
ZAC0000924,304867ec0bb4989c,5215,East London,Eastern Cape,16/03/2017,organic
ZAC0000950,9b34d903d5ccd3da,6028,Port Elizabeth,Eastern Cape,02/03/2017,affiliate
ZAC0001003,7b6f3e6ae4437613,8018,Cape Town,Western Cape,22/03/2017,paid_search
ZAC0001007,31eaff927a7006b7,731,Polokwane,Limpopo,30/03/2017,organic
ZAC0001246,fc4632f2255a3efb,3232,Pietermaritzburg,KwaZulu-Natal,31/03/2017,email
ZAC0001259,a3db8cba02078fac,177,Centurion,Gauteng,27/03/2017,social
ZAC0001330,b030a9ae08ad0d47,2237,Sandton,Gauteng,01/03/2017,organic
