buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000041,8d75d922a844517d,4021,Durban,KwaZulu-Natal,14/04/2017,organic
ZAC0000076,5b3cd61b1832840f,2023,Johannesburg,Gauteng,28/04/2017,organic
ZAC0000079,fd1934f444362429,204,Centurion,Gauteng,04/04/2017,social
ZAC0000083,106c8a5c629500e1,336,Rustenburg,North West,06/04/2017,paid_search
ZAC0000144,fb6787140054ccc7,2021,Johannesburg,Gauteng,20/04/2017,paid_search
ZAC0000160,b5bd1b639f9b7dca,757,Polokwane,Limpopo,20/04/2017,email
ZAC0000166,c42f3939a8091c01,9308,Bloemfontein,Free State,29/04/2017,paid_search
ZAC0000202,9c1059cb2f0ca3bd,16,Pretoria,Gauteng,08/04/2017,organic
ZAC0000209,ec1bb9f27ff73ce8,3237,Pietermaritzburg,KwaZulu-Natal,16/04/2017,paid_search
ZAC0000363,a5f8c8c7f687e196,8018,Cape Town,Western Cape,08/04/2017,organic
ZAC0000378,09a11397a596d3e8,2245,Sandton,Gauteng,29/04/2017,social
ZAC0000389,a98c348e0c9f4a1b,3232,Pietermaritzburg,KwaZulu-Natal,26/04/2017,organic
ZAC0000415,c9683b58e84496e8,5253,East London,Eastern Cape,24/04/2017,referral
ZAC0000461,29b4037dd4068f06,1224,Nelspruit,Mpumalanga,28/04/2017,paid_search
ZAC0000519,007a95291070c6d3,5253,East London,Eastern Cape,13/04/2017,referral
ZAC0000614,b40bcf444e6df5b8,158,Centurion,Gauteng,22/04/2017,paid_search
ZAC0000621,5e44d743fd7459c1,742,Polokwane,Limpopo,29/04/2017,email
ZAC0000639,c8b6a608808138a8,8334,Kimberley,Northern Cape,08/04/2017,referral
ZAC0000682,354f9070f754fc5f,5245,East London,Eastern Cape,26/04/2017,paid_search
ZAC0000753,82bf51447a3c02b2,7635,Stellenbosch,Western Cape,17/04/2017,social
ZAC0000780,7a9ad22521c4d397,8048,Cape Town,Western Cape,24/04/2017,paid_search
ZAC0000909,6210315d888338af,1254,Nelspruit,Mpumalanga,30/04/2017,affiliate
