buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000102,b97cd3ee12a47456,308,Rustenburg,North West,11/06/2017,paid_search
ZAC0000181,4235a2b408966cb2,2217,Sandton,Gauteng,19/06/2017,social
ZAC0000243,7e4c667f50333c48,2020,Johannesburg,Gauteng,26/06/2017,organic
ZAC0000244,76bb2d3ab0e22dd7,7649,Stellenbosch,Western Cape,10/06/2017,organic
ZAC0000251,e3947c06c2d31362,213,Centurion,Gauteng,27/06/2017,social
ZAC0000266,769111703cf15ea8,8013,Cape Town,Western Cape,18/06/2017,organic
ZAC0000275,4538bf553eecc754,3247,Pietermaritzburg,KwaZulu-Natal,09/06/2017,affiliate
ZAC0000278,3be9ff181c002cdb,2052,Johannesburg,Gauteng,19/06/2017,referral
ZAC0000284,5a4cdc7d7762ba5b,5238,East London,Eastern Cape,06/06/2017,referral
ZAC0000307,b0e29f7cb06f108b,25,Pretoria,Gauteng,03/06/2017,social
ZAC0000311,5e9923fc114b571d,2042,Johannesburg,Gauteng,12/06/2017,paid_search
ZAC0000327,3a2c70de17388807,7614,Stellenbosch,Western Cape,24/06/2017,paid_search
ZAC0000341,d2ffd2ba412c8281,3202,Pietermaritzburg,KwaZulu-Natal,02/06/2017,paid_search
ZAC0000348,5c084f58891087dc,1824,Soweto,Gauteng,28/06/2017,organic
ZAC0000396,9ad0ec4bb226786c,6058,Port Elizabeth,Eastern Cape,02/06/2017,affiliate
ZAC0000425,166651dcf0b62e13,7617,Stellenbosch,Western Cape,25/06/2017,email
ZAC0000445,0ae89cba0130b714,1231,Nelspruit,Mpumalanga,05/06/2017,paid_search
ZAC0000452,2632151cf88b9dc7,1221,Nelspruit,Mpumalanga,21/06/2017,social
ZAC0000494,d980be077358378d,30,Pretoria,Gauteng,15/06/2017,social
ZAC0000520,6c60adba8ec278b6,4009,Durban,KwaZulu-Natal,26/06/2017,organic
ZAC0000553,4697a19c9833b2a2,8059,Cape Town,Western Cape,02/06/2017,referral
ZAC0000704,c46ae2743e78e1b2,6018,Port Elizabeth,Eastern Cape,13/06/2017,paid_search
ZAC0000708,2e95b441f3e9fcbb,737,Polokwane,Limpopo,30/06/2017,organic
ZAC0000786,9dc6ce508dc22826,4007,Durban,KwaZulu-Natal,24/06/2017,referral
ZAC0000791,46047723d7b75244,3222,Pietermaritzburg,KwaZulu-Natal,29/06/2017,organic
ZAC0000828,7621cdb38ce11f89,1205,Nelspruit,Mpumalanga,05/06/2017,organic
ZAC0000860,96e722212e307654,343,Rustenburg,North West,11/06/2017,paid_search
ZAC0000929,e5ae6fbb7cd75621,337,Rustenburg,North West,02/06/2017,paid_search
ZAC0000969,fa9a70856a68f81d,7649,Stellenbosch,Western Cape,01/06/2017,email
ZAC0000984,667f32d93b164721,7655,Stellenbosch,Western Cape,06/06/2017,paid_search
ZAC0000985,97e3c0809aeef42b,6043,Port Elizabeth,Eastern Cape,18/06/2017,paid_search
ZAC0001115,e11c4519cb438a24,6059,Port Elizabeth,Eastern Cape,29/06/2017,social
ZAC0001143,c4340f19258d8b95,4013,Durban,KwaZulu-Natal,29/06/2017,social
ZAC0001176,841e241d5f525f27,9311,Bloemfontein,Free State,24/06/2017,organic
ZAC0001184,9b15497aa879ea11,205,Centurion,Gauteng,16/06/2017,organic
ZAC0001252,0b7d3384d3e1d593,7657,Stellenbosch,Western Cape,20/06/2017,affiliate
ZAC0001270,f8f1e3c3a7131600,168,Centurion,Gauteng,05/06/2017,referral
ZAC0001296,ae380678ed23bc49,9306,Bloemfontein,Free State,18/06/2017,organic
ZAC0001309,8f351a74fc581458,333,Rustenburg,North West,04/06/2017,email
ZAC0001317,8f3c50eee17d1d9d,734,Polokwane,Limpopo,25/06/2017,referral
ZAC0001337,0e9eaf743fdb750c,2220,Sandton,Gauteng,18/06/2017,social
ZAC0001340,63766ba02974225f,2233,Sandton,Gauteng,08/06/2017,referral
ZAC0001341,cd181ed098a19978,3234,Pietermaritzburg,KwaZulu-Natal,02/06/2017,social
