ord_ref,line_no,sku,vendor_code,qty,unit_price_zar,delivery_fee_zar
ZA-00000150,1,SKU90974,ZAV00323,1,411.46,49.09
ZA-00000151,1,SKU60679,ZAV00568,1,126.63,162.83
ZA-00000152,1,SKU64728,ZAV00626,1,609.93,58.02
ZA-00000153,1,SKU78405,ZAV00639,1,2198.62,131.14
ZA-00000153,2,SKU74344,ZAV00438,1,584.22,74.91
ZA-00000154,1,SKU69753,ZAV00576,1,339.15,150.24
ZA-00000155,1,SKU55208,ZAV00303,1,592.4,60.95
ZA-00000156,1,SKU89205,ZAV00074,1,1078.36,159.36
ZA-00000157,1,SKU19397,ZAV00037,1,364.12,171.23
ZA-00000158,1,SKU20411,ZAV00577,1,398.73,76.08
ZA-00000159,1,SKU71299,ZAV00600,1,1842.08,104.48
ZA-00000160,1,SKU83587,ZAV00443,2,939.76,138.85
ZA-00000161,1,SKU20846,ZAV00272,1,1269.45,97.11
ZA-00000162,1,SKU73330,ZAV00369,1,530.29,127.36
ZA-00000163,1,SKU54765,ZAV00474,1,182.8,152.15
ZA-00000163,2,SKU37013,ZAV00055,1,153.84,100.75
ZA-00000164,1,SKU71446,ZAV00649,1,564.21,109.23
ZA-00000165,1,SKU10098,ZAV00420,1,187.59,152.56
ZA-00000166,1,SKU45109,ZAV00308,1,609.69,49.22
ZA-00000166,2,SKU14772,ZAV00647,1,555.68,139.28
ZA-00000167,1,SKU20350,ZAV00337,1,511.63,175.28
ZA-00000167,2,SKU14120,ZAV00155,1,295.8,86.16
ZA-00000168,1,SKU88699,ZAV00309,2,444.78,164.72
ZA-00000169,1,SKU54322,ZAV00058,1,473.38,67.39
ZA-00000170,1,SKU70695,ZAV00403,3,308.99,175.23
ZA-00000170,2,SKU89595,ZAV00323,1,439.43,38.74
ZA-00000171,1,SKU41839,ZAV00599,1,455.81,137.84
ZA-00000172,1,SKU89868,ZAV00417,2,168.46,61.13
ZA-00000173,1,SKU89148,ZAV00784,1,551.61,121.4
ZA-00000174,1,SKU54536,ZAV00302,1,445.88,136.99
ZA-00000174,2,SKU56516,ZAV00389,1,591.68,53.9
ZA-00000174,3,SKU63372,ZAV00227,1,350.32,167.74
ZA-00000175,1,SKU45708,ZAV00754,1,5075.74,56.45
ZA-00000175,2,SKU94318,ZAV00114,1,297.46,49.17
ZA-00000176,1,SKU67211,ZAV00453,1,822.09,111.97
ZA-00000177,1,SKU47080,ZAV00670,1,451.12,59.34
ZA-00000178,1,SKU39327,ZAV00646,1,363.16,85.45
ZA-00000178,2,SKU19780,ZAV00190,1,49.58,37.6
ZA-00000179,1,SKU21829,ZAV00193,1,1672.34,111.32
ZA-00000180,1,SKU28017,ZAV00056,1,1284.1,135.86
ZA-00000181,1,SKU69683,ZAV00409,3,182.14,45.11
ZA-00000182,1,SKU82584,ZAV00277,1,574.65,165.84
ZA-00000183,1,SKU98475,ZAV00550,2,476.86,131.42
ZA-00000183,2,SKU67209,ZAV00140,1,350.83,111.01
ZA-00000184,1,SKU30722,ZAV00609,1,1404.44,71.5
ZA-00000185,1,SKU28386,ZAV00136,1,622.3,61.33
ZA-00000186,1,SKU93188,ZAV00289,1,1555.11,52.74
ZA-00000187,1,SKU11305,ZAV00091,1,229.49,99.76
ZA-00000188,1,SKU89946,ZAV00455,1,36.05,40.98
ZA-00000189,1,SKU33406,ZAV00247,1,628.2,73.86
ZA-00000190,1,SKU38175,ZAV00243,1,606.01,88.14
ZA-00000191,1,SKU31233,ZAV00251,1,1085.99,169.96
ZA-00000192,1,SKU33351,ZAV00203,1,362.8,114.55
ZA-00000193,1,SKU48393,ZAV00187,1,280.57,80.22
ZA-00000194,1,SKU38153,ZAV00098,1,930.4,133.31
ZA-00000195,1,SKU81471,ZAV00077,2,244.08,78.52
ZA-00000195,2,SKU93277,ZAV00099,1,72.18,120.63
ZA-00000196,1,SKU15851,ZAV00259,1,137.65,94.78
ZA-00000196,2,SKU60651,ZAV00515,2,1063.6,159.93
ZA-00000197,1,SKU67582,ZAV00019,1,186.44,79.84
ZA-00000197,2,SKU45779,ZAV00433,1,342.19,159.58
ZA-00000198,1,SKU75035,ZAV00210,1,1716.86,133.45
ZA-00000199,1,SKU44567,ZAV00467,1,279.74,102.45
ZA-00000200,1,SKU49478,ZAV00570,1,182.55,100.59
ZA-00000201,1,SKU79466,ZAV00228,1,369.46,60.78
ZA-00000201,2,SKU53555,ZAV00351,1,435.59,120.4
ZA-00000202,1,SKU50615,ZAV00686,2,684.21,127.23
ZA-00000203,1,SKU10949,ZAV00105,1,334.15,46.69
ZA-00000204,1,SKU95005,ZAV00055,3,540.43,148.06
ZA-00000205,1,SKU75723,ZAV00408,1,970.02,126.58
ZA-00000206,1,SKU82233,ZAV00230,1,358.87,75.66
ZA-00000207,1,SKU90194,ZAV00433,1,437.37,106.76
ZA-00000208,1,SKU39965,ZAV00459,2,670.09,44.64
ZA-00000209,1,SKU57616,ZAV00339,1,433.68,129.0
ZA-00000210,1,SKU93973,ZAV00622,2,178.62,68.12
ZA-00000210,2,SKU93554,ZAV00363,1,1112.73,115.82
ZA-00000210,3,SKU53831,ZAV00666,1,724.91,132.76
ZA-00000211,1,SKU55391,ZAV00634,1,4396.14,59.73
ZA-00000212,1,SKU36179,ZAV00193,1,484.17,155.99
ZA-00000213,1,SKU89787,ZAV00610,1,1465.35,92.64
ZA-00000214,1,SKU99527,ZAV00173,1,324.3,82.37
ZA-00000215,1,SKU15539,ZAV00044,1,1027.93,62.75
ZA-00000215,2,SKU31711,ZAV00119,1,275.67,48.51
ZA-00000216,1,SKU93771,ZAV00055,1,300.4,106.61
ZA-00000217,1,SKU29660,ZAV00727,1,419.46,97.73
ZA-00000218,1,SKU13936,ZAV00125,1,1596.22,55.13
ZA-00000219,1,SKU45549,ZAV00477,2,599.08,55.38
ZA-00000220,1,SKU52132,ZAV00653,1,333.71,98.61
ZA-00000221,1,SKU13803,ZAV00750,1,95.36,65.24
ZA-00000221,2,SKU57025,ZAV00244,1,123.84,111.29
ZA-00000222,1,SKU23136,ZAV00544,1,645.24,164.61
ZA-00000223,1,SKU46546,ZAV00461,1,1163.68,119.3
ZA-00000224,1,SKU45090,ZAV00287,1,678.76,111.77
ZA-00000225,1,SKU41204,ZAV00520,2,616.67,145.09
ZA-00000226,1,SKU59932,ZAV00610,1,606.41,41.61
ZA-00000226,2,SKU82868,ZAV00497,1,1258.32,91.66
ZA-00000227,1,SKU28357,ZAV00529,2,236.28,138.44
ZA-00000227,2,SKU89221,ZAV00157,1,439.27,165.78
ZA-00000228,1,SKU61075,ZAV00246,2,777.8,63.59
ZA-00000229,1,SKU37654,ZAV00617,1,107.76,39.68
ZA-00000230,1,SKU94200,ZAV00020,1,386.58,161.01
ZA-00000231,1,SKU20306,ZAV00005,2,1496.87,38.82
ZA-00000232,1,SKU79543,ZAV00495,1,2386.94,114.2
ZA-00000233,1,SKU69200,ZAV00305,2,1206.48,37.37
ZA-00000234,1,SKU23862,ZAV00784,1,828.74,149.98
ZA-00000235,1,SKU14918,ZAV00376,1,479.55,161.7
ZA-00000236,1,SKU88273,ZAV00775,1,1078.88,84.2
ZA-00000236,2,SKU79497,ZAV00468,1,165.85,75.01
ZA-00000237,1,SKU78100,ZAV00693,1,310.97,146.09
ZA-00000238,1,SKU65957,ZAV00561,3,325.34,66.92
ZA-00000239,1,SKU75283,ZAV00744,1,267.02,173.54
ZA-00000240,1,SKU94972,ZAV00610,1,330.75,159.47
ZA-00000241,1,SKU92778,ZAV00551,1,211.98,80.76
ZA-00000241,2,SKU17396,ZAV00116,2,232.68,116.97
ZA-00000241,3,SKU57944,ZAV00751,1,368.81,137.06
ZA-00000242,1,SKU28429,ZAV00415,1,388.06,116.07
ZA-00000243,1,SKU93719,ZAV00649,1,3437.15,89.85
ZA-00000244,1,SKU91384,ZAV00557,1,498.4,73.56
ZA-00000245,1,SKU20054,ZAV00030,1,787.99,179.61
ZA-00000246,1,SKU12727,ZAV00044,1,289.07,54.54
ZA-00000247,1,SKU43486,ZAV00362,1,464.45,87.82
ZA-00000248,1,SKU39657,ZAV00534,2,266.13,140.8
ZA-00000249,1,SKU27502,ZAV00570,1,911.83,77.31
ZA-00000250,1,SKU28703,ZAV00134,1,983.87,83.0
ZA-00000251,1,SKU80932,ZAV00079,1,630.35,49.78
ZA-00000252,1,SKU56649,ZAV00543,1,699.75,55.37
ZA-00000252,2,SKU12601,ZAV00632,1,1698.56,82.77
ZA-00000253,1,SKU33609,ZAV00779,1,954.9,82.75
ZA-00000253,2,SKU28489,ZAV00358,1,633.02,132.4
ZA-00000254,1,SKU48100,ZAV00012,1,682.67,177.13
