ord_ref,line_no,sku,vendor_code,qty,unit_price_zar,delivery_fee_zar
ZA-00000001,1,SKU99367,ZAV00576,1,631.35,87.41
ZA-00000002,1,SKU23492,ZAV00045,1,1940.04,109.42
ZA-00000002,2,SKU81960,ZAV00519,1,205.81,70.35
ZA-00000002,3,SKU76054,ZAV00427,1,739.6,127.82
ZA-00000003,1,SKU22933,ZAV00427,1,1101.08,130.44
ZA-00000004,1,SKU48115,ZAV00548,1,75.07,146.93
ZA-00000005,1,SKU56279,ZAV00039,1,778.15,86.5
ZA-00000006,1,SKU98060,ZAV00532,1,639.13,50.5
ZA-00000007,1,SKU89478,ZAV00143,1,655.3,83.01
ZA-00000008,1,SKU74560,ZAV00736,1,797.88,75.98
ZA-00000009,1,SKU89644,ZAV00381,1,96.45,101.59
ZA-00000009,2,SKU26845,ZAV00446,1,167.45,128.46
ZA-00000009,3,SKU45324,ZAV00721,1,445.49,132.46
ZA-00000010,1,SKU69253,ZAV00507,2,81.15,41.68
ZA-00000010,2,SKU74480,ZAV00567,1,2028.54,75.69
ZA-00000011,1,SKU64009,ZAV00520,1,1196.32,108.55
ZA-00000012,1,SKU13366,ZAV00343,1,1276.36,137.61
ZA-00000013,1,SKU26024,ZAV00386,1,410.62,136.18
ZA-00000013,2,SKU49195,ZAV00670,2,466.65,131.22
ZA-00000014,1,SKU43035,ZAV00555,1,1177.35,150.96
ZA-00000015,1,SKU57652,ZAV00427,1,205.29,145.44
ZA-00000016,1,SKU85051,ZAV00457,1,660.75,64.82
ZA-00000016,2,SKU29970,ZAV00637,1,453.4,176.98
ZA-00000017,1,SKU72342,ZAV00668,1,1407.22,133.43
ZA-00000018,1,SKU84957,ZAV00098,3,424.19,60.98
ZA-00000019,1,SKU39922,ZAV00365,1,1163.51,144.11
ZA-00000020,1,SKU43441,ZAV00551,1,195.3,109.98
ZA-00000021,1,SKU79827,ZAV00225,1,344.9,161.5
ZA-00000021,2,SKU81374,ZAV00142,1,601.68,104.1
ZA-00000022,1,SKU75926,ZAV00205,1,352.11,132.65
ZA-00000023,1,SKU66505,ZAV00368,1,774.23,134.77
ZA-00000024,1,SKU76434,ZAV00490,1,321.93,39.43
ZA-00000025,1,SKU70279,ZAV00591,1,1962.46,159.01
ZA-00000026,1,SKU45239,ZAV00059,2,304.88,146.56
ZA-00000026,2,SKU37424,ZAV00299,2,332.85,48.75
ZA-00000027,1,SKU70050,ZAV00298,1,336.16,141.99
ZA-00000028,1,SKU84058,ZAV00195,1,287.9,80.35
ZA-00000029,1,SKU24135,ZAV00630,3,290.92,72.77
ZA-00000029,2,SKU61993,ZAV00052,1,1019.31,174.15
ZA-00000029,3,SKU18422,ZAV00075,1,90.06,60.7
ZA-00000030,1,SKU72673,ZAV00383,2,195.58,86.08
ZA-00000031,1,SKU91537,ZAV00346,1,1886.13,129.39
ZA-00000032,1,SKU67409,ZAV00105,1,1047.8,65.41
ZA-00000033,1,SKU42448,ZAV00233,1,337.63,149.79
ZA-00000033,2,SKU68282,ZAV00557,1,1288.71,120.54
ZA-00000033,3,SKU35278,ZAV00532,1,790.85,175.5
ZA-00000034,1,SKU71961,ZAV00301,1,159.27,62.78
ZA-00000034,2,SKU35511,ZAV00577,1,222.78,100.46
ZA-00000035,1,SKU59620,ZAV00326,1,844.11,165.28
ZA-00000036,1,SKU25748,ZAV00058,1,183.13,109.05
ZA-00000036,2,SKU32744,ZAV00520,2,369.68,131.57
ZA-00000037,1,SKU18514,ZAV00636,1,133.95,69.44
ZA-00000037,2,SKU94327,ZAV00597,1,272.49,51.33
ZA-00000037,3,SKU83724,ZAV00602,1,416.88,120.71
ZA-00000038,1,SKU41127,ZAV00074,1,523.56,81.03
ZA-00000039,1,SKU85314,ZAV00553,1,1303.81,99.54
ZA-00000040,1,SKU52949,ZAV00011,1,152.61,174.28
ZA-00000040,2,SKU67391,ZAV00640,1,864.81,50.48
ZA-00000040,3,SKU15893,ZAV00341,1,522.66,107.75
ZA-00000041,1,SKU99269,ZAV00014,1,1419.31,149.82
ZA-00000042,1,SKU24027,ZAV00387,1,1978.49,82.1
ZA-00000043,1,SKU38168,ZAV00348,1,1372.84,173.82
ZA-00000044,1,SKU90019,ZAV00319,1,523.52,64.92
ZA-00000045,1,SKU13227,ZAV00780,1,390.33,169.25
ZA-00000046,1,SKU49012,ZAV00294,1,387.22,179.46
ZA-00000047,1,SKU16910,ZAV00678,3,585.77,115.15
ZA-00000048,1,SKU48707,ZAV00737,2,271.79,101.9
ZA-00000049,1,SKU23357,ZAV00017,1,911.85,59.17
ZA-00000050,1,SKU39716,ZAV00421,2,1572.19,160.01
ZA-00000051,1,SKU91068,ZAV00378,1,1347.26,50.08
ZA-00000052,1,SKU40332,ZAV00540,1,206.61,36.12
ZA-00000053,1,SKU15667,ZAV00680,1,503.11,69.04
ZA-00000054,1,SKU84202,ZAV00191,2,1205.4,81.65
ZA-00000055,1,SKU66034,ZAV00744,2,1307.59,169.37
ZA-00000055,2,SKU81687,ZAV00010,1,371.53,103.17
ZA-00000056,1,SKU36237,ZAV00499,1,242.88,103.51
ZA-00000057,1,SKU35847,ZAV00181,1,60.62,53.5
ZA-00000058,1,SKU90095,ZAV00133,1,187.64,128.63
ZA-00000059,1,SKU36358,ZAV00417,1,1336.41,80.25
ZA-00000059,2,SKU92344,ZAV00183,2,260.37,143.26
ZA-00000060,1,SKU13552,ZAV00428,1,375.71,129.5
ZA-00000061,1,SKU22333,ZAV00530,2,364.85,81.8
ZA-00000062,1,SKU93155,ZAV00584,1,610.73,94.88
ZA-00000063,1,SKU58660,ZAV00548,1,1574.79,58.58
ZA-00000064,1,SKU71946,ZAV00536,2,548.01,89.96
ZA-00000064,2,SKU43774,ZAV00685,2,1806.47,110.25
ZA-00000064,3,SKU78858,ZAV00555,1,563.43,73.81
ZA-00000065,1,SKU77028,ZAV00223,1,950.09,117.29
ZA-00000065,2,SKU93262,ZAV00327,1,735.08,55.96
ZA-00000066,1,SKU66019,ZAV00204,1,388.76,45.26
ZA-00000067,1,SKU19026,ZAV00584,2,470.26,110.29
ZA-00000068,1,SKU15585,ZAV00250,1,270.39,145.97
ZA-00000068,2,SKU28656,ZAV00097,1,559.66,146.49
ZA-00000069,1,SKU77217,ZAV00610,1,1337.3,131.34
ZA-00000069,2,SKU36511,ZAV00431,1,606.05,166.76
ZA-00000069,3,SKU20588,ZAV00720,2,263.08,35.09
ZA-00000070,1,SKU95173,ZAV00091,1,144.66,66.7
ZA-00000071,1,SKU43039,ZAV00749,1,236.67,120.64
ZA-00000071,2,SKU75493,ZAV00359,1,606.84,147.24
ZA-00000072,1,SKU66957,ZAV00646,1,542.71,43.18
ZA-00000073,1,SKU76750,ZAV00592,2,786.52,65.71
ZA-00000074,1,SKU81731,ZAV00295,2,535.28,134.05
ZA-00000074,2,SKU20949,ZAV00711,1,1033.82,91.74
ZA-00000074,3,SKU37473,ZAV00336,2,185.01,37.42
ZA-00000075,1,SKU80796,ZAV00329,2,139.92,91.02
ZA-00000075,2,SKU13199,ZAV00727,1,382.51,85.21
ZA-00000076,1,SKU38342,ZAV00186,1,415.62,42.47
ZA-00000077,1,SKU89582,ZAV00620,1,308.72,123.33
ZA-00000077,2,SKU70192,ZAV00484,3,468.47,106.09
ZA-00000078,1,SKU73397,ZAV00331,2,515.55,42.92
ZA-00000078,2,SKU38568,ZAV00577,1,197.39,124.58
ZA-00000079,1,SKU46002,ZAV00755,1,1006.08,127.72
ZA-00000080,1,SKU67559,ZAV00691,1,162.45,167.03
ZA-00000081,1,SKU68650,ZAV00300,1,1205.98,126.45
ZA-00000082,1,SKU15342,ZAV00076,1,1382.24,99.98
ZA-00000083,1,SKU17004,ZAV00445,1,627.58,96.9
ZA-00000084,1,SKU63124,ZAV00230,1,1433.0,35.4
ZA-00000085,1,SKU57346,ZAV00096,2,234.84,115.93
ZA-00000086,1,SKU84954,ZAV00671,1,278.46,47.96
ZA-00000087,1,SKU95574,ZAV00323,1,283.14,93.69
ZA-00000088,1,SKU42606,ZAV00463,1,136.53,91.21
ZA-00000089,1,SKU70113,ZAV00479,1,2122.99,72.51
ZA-00000090,1,SKU16759,ZAV00094,1,1590.29,65.8
ZA-00000090,2,SKU10922,ZAV00566,1,1652.68,35.75
ZA-00000091,1,SKU92211,ZAV00050,1,1951.2,49.95
ZA-00000092,1,SKU35194,ZAV00122,2,159.5,38.09
ZA-00000093,1,SKU76856,ZAV00317,1,238.53,72.04
ZA-00000093,2,SKU74082,ZAV00401,1,766.43,60.35
ZA-00000093,3,SKU48865,ZAV00616,2,115.98,78.01
ZA-00000094,1,SKU97844,ZAV00712,1,318.98,70.52
ZA-00000095,1,SKU17529,ZAV00313,1,148.65,97.34
ZA-00000096,1,SKU86413,ZAV00797,1,351.26,125.37
ZA-00000097,1,SKU22792,ZAV00065,3,280.86,178.61
ZA-00000098,1,SKU68315,ZAV00608,1,1002.24,153.29
ZA-00000099,1,SKU22143,ZAV00058,2,1156.53,163.21
ZA-00000099,2,SKU20377,ZAV00564,1,383.27,121.27
