ord_ref,line_no,sku,vendor_code,qty,unit_price_zar,delivery_fee_zar
ZA-00016752,1,SKU87461,ZAV00357,1,453.07,52.58
ZA-00016753,1,SKU60227,ZAV00332,1,127.1,54.19
ZA-00016754,1,SKU82733,ZAV00091,1,1057.21,161.09
ZA-00016755,1,SKU64603,ZAV00229,1,1143.64,174.78
ZA-00016756,1,SKU69820,ZAV00638,1,1277.84,142.18
ZA-00016757,1,SKU46236,ZAV00352,3,123.26,82.18
ZA-00016757,2,SKU34826,ZAV00335,1,172.63,174.19
ZA-00016758,1,SKU96195,ZAV00773,1,280.9,79.7
ZA-00016759,1,SKU41582,ZAV00375,1,540.53,174.37
ZA-00016760,1,SKU80810,ZAV00689,1,1968.75,66.37
ZA-00016761,1,SKU29553,ZAV00493,1,674.75,37.4
ZA-00016762,1,SKU95801,ZAV00458,2,158.72,151.56
ZA-00016763,1,SKU54255,ZAV00499,1,403.05,129.4
ZA-00016764,1,SKU45614,ZAV00545,1,1215.35,178.45
ZA-00016765,1,SKU45444,ZAV00104,1,440.89,178.61
ZA-00016766,1,SKU49199,ZAV00651,1,1415.21,134.33
ZA-00016767,1,SKU82421,ZAV00773,1,801.71,93.43
ZA-00016768,1,SKU34517,ZAV00170,1,236.75,131.58
ZA-00016769,1,SKU56282,ZAV00404,1,1437.84,66.56
ZA-00016770,1,SKU59580,ZAV00065,1,295.04,178.78
ZA-00016770,2,SKU76096,ZAV00476,1,537.12,151.36
ZA-00016771,1,SKU72394,ZAV00357,1,315.63,165.06
ZA-00016771,2,SKU47535,ZAV00390,1,701.75,124.75
ZA-00016772,1,SKU12224,ZAV00549,1,385.6,171.18
ZA-00016772,2,SKU85968,ZAV00461,1,945.17,140.72
ZA-00016772,3,SKU17882,ZAV00047,1,139.73,37.95
ZA-00016773,1,SKU19895,ZAV00389,1,402.14,64.75
ZA-00016774,1,SKU18800,ZAV00021,1,1283.07,100.27
ZA-00016775,1,SKU67060,ZAV00772,2,256.43,173.81
ZA-00016776,1,SKU84815,ZAV00584,1,423.92,167.83
ZA-00016777,1,SKU85328,ZAV00098,1,2164.28,176.47
ZA-00016778,1,SKU49687,ZAV00597,1,493.13,115.43
ZA-00016779,1,SKU52898,ZAV00639,1,346.88,61.74
