ord_ref,line_no,sku,vendor_code,qty,unit_price_zar,delivery_fee_zar
ZA-00001780,1,SKU94860,ZAV00128,1,544.59,134.64
ZA-00001781,1,SKU60081,ZAV00614,2,198.0,59.75
ZA-00001782,1,SKU22377,ZAV00598,1,307.35,76.79
ZA-00001783,1,SKU81231,ZAV00550,3,511.36,123.41
ZA-00001784,1,SKU25477,ZAV00128,1,770.14,62.5
ZA-00001785,1,SKU54225,ZAV00428,1,223.3,76.72
ZA-00001785,2,SKU84608,ZAV00021,1,200.28,153.71
ZA-00001785,3,SKU58859,ZAV00186,1,1297.61,79.47
ZA-00001786,1,SKU10131,ZAV00123,2,566.22,167.05
ZA-00001787,1,SKU95498,ZAV00637,2,375.7,113.48
ZA-00001788,1,SKU91015,ZAV00518,1,465.49,89.16
ZA-00001789,1,SKU60259,ZAV00005,1,558.17,93.93
ZA-00001790,1,SKU76751,ZAV00463,1,478.36,137.64
ZA-00001791,1,SKU71352,ZAV00677,1,545.89,63.35
ZA-00001792,1,SKU32612,ZAV00766,1,626.64,96.38
ZA-00001793,1,SKU79338,ZAV00621,2,331.86,164.8
ZA-00001794,1,SKU15965,ZAV00165,1,135.8,139.06
ZA-00001795,1,SKU42061,ZAV00468,1,298.16,75.19
ZA-00001796,1,SKU38221,ZAV00615,1,1041.96,100.66
ZA-00001797,1,SKU13567,ZAV00758,1,203.78,37.78
ZA-00001798,1,SKU89794,ZAV00370,1,164.85,35.19
ZA-00001799,1,SKU13760,ZAV00609,1,552.82,178.35
ZA-00001799,2,SKU99981,ZAV00541,1,245.09,134.24
ZA-00001800,1,SKU60275,ZAV00768,1,1833.69,112.0
ZA-00001801,1,SKU82772,ZAV00679,1,683.57,112.04
ZA-00001802,1,SKU92243,ZAV00774,1,668.14,84.98
ZA-00001803,1,SKU55118,ZAV00756,1,540.73,134.23
ZA-00001804,1,SKU21259,ZAV00227,2,243.54,51.53
ZA-00001804,2,SKU78275,ZAV00587,1,279.23,75.04
ZA-00001804,3,SKU92822,ZAV00168,1,1554.22,46.53
ZA-00001805,1,SKU52626,ZAV00286,1,532.18,169.14
ZA-00001805,2,SKU14443,ZAV00089,1,43.93,155.32
ZA-00001806,1,SKU34647,ZAV00033,1,736.18,148.66
ZA-00001807,1,SKU31751,ZAV00356,1,430.67,81.24
ZA-00001808,1,SKU57759,ZAV00406,1,219.69,47.7
ZA-00001809,1,SKU91154,ZAV00278,2,160.24,105.26
ZA-00001810,1,SKU59150,ZAV00075,1,608.03,84.2
ZA-00001810,2,SKU70034,ZAV00325,1,348.65,59.43
ZA-00001811,1,SKU40930,ZAV00191,1,333.71,94.51
ZA-00001812,1,SKU13572,ZAV00459,1,349.29,130.72
ZA-00001812,2,SKU90667,ZAV00047,1,590.23,47.6
ZA-00001813,1,SKU11145,ZAV00176,1,1070.46,175.18
ZA-00001813,2,SKU58983,ZAV00768,1,156.14,39.16
ZA-00001813,3,SKU48259,ZAV00233,1,385.09,171.82
ZA-00001814,1,SKU35875,ZAV00779,1,272.29,118.6
ZA-00001815,1,SKU90400,ZAV00027,1,1315.11,56.1
ZA-00001815,2,SKU81844,ZAV00138,1,989.1,167.77
ZA-00001815,3,SKU19027,ZAV00042,1,184.41,38.68
ZA-00001816,1,SKU56443,ZAV00320,1,394.68,148.78
ZA-00001817,1,SKU62657,ZAV00003,1,531.66,59.57
ZA-00001818,1,SKU31364,ZAV00607,1,962.07,162.04
ZA-00001819,1,SKU87763,ZAV00391,1,1100.64,171.8
ZA-00001820,1,SKU54262,ZAV00567,1,219.68,98.66
ZA-00001820,2,SKU98383,ZAV00025,1,653.82,176.73
ZA-00001821,1,SKU27021,ZAV00672,1,427.94,75.81
ZA-00001821,2,SKU42087,ZAV00042,1,1800.05,130.49
ZA-00001822,1,SKU50831,ZAV00275,1,269.83,71.69
ZA-00001823,1,SKU59042,ZAV00158,1,138.42,48.85
ZA-00001823,2,SKU38702,ZAV00760,1,133.77,160.92
ZA-00001823,3,SKU86682,ZAV00380,1,864.01,57.79
ZA-00001824,1,SKU69583,ZAV00003,1,1087.96,101.44
ZA-00001825,1,SKU30921,ZAV00468,2,646.0,44.62
ZA-00001825,2,SKU70515,ZAV00220,1,405.65,82.31
ZA-00001826,1,SKU47074,ZAV00494,1,423.12,166.53
ZA-00001827,1,SKU92666,ZAV00155,1,366.79,145.83
ZA-00001828,1,SKU87000,ZAV00600,1,107.96,136.64
ZA-00001829,1,SKU42211,ZAV00020,1,154.21,153.31
ZA-00001830,1,SKU48952,ZAV00435,1,1073.41,42.09
ZA-00001831,1,SKU83945,ZAV00374,1,104.89,51.67
ZA-00001832,1,SKU44522,ZAV00660,2,2837.6,117.45
ZA-00001832,2,SKU65902,ZAV00323,1,208.38,136.81
ZA-00001833,1,SKU94555,ZAV00451,2,1022.95,122.8
ZA-00001834,1,SKU70919,ZAV00561,1,606.72,72.23
ZA-00001835,1,SKU47733,ZAV00720,1,987.38,116.24
ZA-00001836,1,SKU16663,ZAV00560,1,539.88,101.14
ZA-00001836,2,SKU92856,ZAV00755,1,361.16,179.86
ZA-00001837,1,SKU91208,ZAV00334,1,392.72,128.06
ZA-00001838,1,SKU95802,ZAV00072,1,453.69,45.62
ZA-00001838,2,SKU56256,ZAV00430,2,1452.04,131.2
ZA-00001839,1,SKU90772,ZAV00111,1,180.12,124.97
ZA-00001839,2,SKU46204,ZAV00646,1,249.5,140.21
ZA-00001840,1,SKU12857,ZAV00071,1,2597.33,157.89
ZA-00001841,1,SKU52663,ZAV00344,1,257.32,36.74
ZA-00001842,1,SKU61016,ZAV00256,2,454.63,78.07
ZA-00001843,1,SKU57948,ZAV00418,1,147.72,155.48
ZA-00001844,1,SKU74864,ZAV00058,1,121.83,45.69
ZA-00001845,1,SKU94009,ZAV00779,1,547.36,124.03
ZA-00001846,1,SKU17018,ZAV00199,1,118.62,107.91
ZA-00001847,1,SKU48438,ZAV00372,1,357.93,134.05
ZA-00001848,1,SKU42415,ZAV00709,1,186.94,166.56
ZA-00001849,1,SKU76156,ZAV00155,1,206.8,109.25
ZA-00001850,1,SKU72879,ZAV00039,2,177.78,56.44
ZA-00001851,1,SKU56027,ZAV00041,1,989.7,42.66
ZA-00001852,1,SKU67615,ZAV00112,1,2234.63,51.73
ZA-00001853,1,SKU24554,ZAV00614,3,154.54,39.41
ZA-00001854,1,SKU64316,ZAV00501,1,1752.63,172.24
ZA-00001855,1,SKU40860,ZAV00447,1,179.28,164.92
ZA-00001856,1,SKU15570,ZAV00670,1,596.97,133.25
ZA-00001857,1,SKU11714,ZAV00753,1,756.05,174.51
ZA-00001857,2,SKU80647,ZAV00164,1,54.35,49.67
ZA-00001858,1,SKU65675,ZAV00594,1,2439.34,41.85
ZA-00001858,2,SKU38502,ZAV00697,1,144.44,81.06
ZA-00001859,1,SKU94760,ZAV00056,1,1775.59,104.91
ZA-00001860,1,SKU50929,ZAV00527,1,104.46,167.46
ZA-00001861,1,SKU32133,ZAV00113,1,1197.4,35.69
ZA-00001862,1,SKU54067,ZAV00734,1,1662.81,115.35
ZA-00001863,1,SKU30669,ZAV00564,1,715.91,106.07
ZA-00001864,1,SKU55773,ZAV00766,1,669.06,173.73
ZA-00001865,1,SKU45650,ZAV00674,2,274.07,50.22
ZA-00001866,1,SKU46735,ZAV00668,1,126.95,165.02
ZA-00001866,2,SKU54323,ZAV00505,1,549.87,98.68
ZA-00001866,3,SKU14243,ZAV00700,1,121.61,49.41
ZA-00001867,1,SKU82661,ZAV00500,1,955.35,124.58
ZA-00001868,1,SKU33519,ZAV00617,3,275.2,89.71
ZA-00001868,2,SKU58507,ZAV00514,1,387.26,134.05
ZA-00001869,1,SKU29859,ZAV00273,1,689.03,39.61
ZA-00001869,2,SKU18720,ZAV00738,1,938.26,37.49
ZA-00001870,1,SKU18224,ZAV00477,1,198.04,117.47
ZA-00001870,2,SKU88248,ZAV00316,1,596.41,173.58
ZA-00001871,1,SKU27276,ZAV00555,2,97.25,83.42
ZA-00001872,1,SKU34785,ZAV00560,1,770.08,107.35
ZA-00001873,1,SKU83924,ZAV00440,1,386.37,88.77
ZA-00001874,1,SKU33616,ZAV00623,1,453.23,67.66
ZA-00001875,1,SKU89869,ZAV00587,1,1798.65,81.8
ZA-00001875,2,SKU33027,ZAV00718,1,388.48,107.47
ZA-00001875,3,SKU65164,ZAV00673,1,301.43,130.16
ZA-00001876,1,SKU39966,ZAV00234,1,137.97,84.9
ZA-00001877,1,SKU51980,ZAV00179,1,2366.92,41.65
ZA-00001878,1,SKU24428,ZAV00538,1,363.5,169.74
ZA-00001878,2,SKU63794,ZAV00155,1,1088.12,161.39
ZA-00001879,1,SKU19864,ZAV00570,1,222.11,41.64
ZA-00001879,2,SKU95038,ZAV00483,1,527.75,175.2
ZA-00001880,1,SKU43929,ZAV00460,1,1024.97,134.82
ZA-00001881,1,SKU82147,ZAV00093,1,281.48,36.71
ZA-00001882,1,SKU54307,ZAV00423,1,2332.88,61.16
ZA-00001883,1,SKU90172,ZAV00721,1,432.2,163.17
ZA-00001884,1,SKU58075,ZAV00339,1,246.3,116.98
ZA-00001885,1,SKU90506,ZAV00126,1,1376.33,135.76
ZA-00001885,2,SKU38142,ZAV00174,1,383.59,68.07
ZA-00001886,1,SKU11520,ZAV00533,1,1848.2,174.76
ZA-00001886,2,SKU52024,ZAV00177,1,816.55,103.27
ZA-00001887,1,SKU92495,ZAV00334,1,938.72,40.06
ZA-00001888,1,SKU41546,ZAV00006,1,648.11,90.88
ZA-00001888,2,SKU34358,ZAV00423,1,226.89,51.69
ZA-00001889,1,SKU60232,ZAV00170,1,228.35,92.66
ZA-00001889,2,SKU49797,ZAV00189,1,208.94,159.61
ZA-00001890,1,SKU87363,ZAV00083,1,899.97,158.05
ZA-00001890,2,SKU11055,ZAV00283,1,413.2,79.54
ZA-00001891,1,SKU46150,ZAV00395,1,555.28,52.68
ZA-00001892,1,SKU66193,ZAV00584,2,619.7,109.78
ZA-00001893,1,SKU80010,ZAV00023,1,364.84,35.53
