ord_ref,line_no,sku,vendor_code,qty,unit_price_zar,delivery_fee_zar
ZA-00009402,1,SKU31759,ZAV00600,1,93.83,117.29
ZA-00009403,1,SKU62901,ZAV00084,1,311.41,86.06
ZA-00009404,1,SKU17952,ZAV00229,1,1551.55,113.54
ZA-00009405,1,SKU13166,ZAV00757,1,419.01,178.36
ZA-00009405,2,SKU20264,ZAV00188,1,120.58,81.74
ZA-00009405,3,SKU82498,ZAV00156,1,767.55,44.72
ZA-00009406,1,SKU70949,ZAV00540,2,78.45,144.86
ZA-00009406,2,SKU21216,ZAV00581,1,680.33,55.42
ZA-00009407,1,SKU47761,ZAV00253,1,743.37,160.42
ZA-00009408,1,SKU69766,ZAV00374,1,1031.41,98.83
ZA-00009408,2,SKU77732,ZAV00541,2,365.65,140.22
ZA-00009409,1,SKU39887,ZAV00735,1,155.07,89.32
ZA-00009410,1,SKU83429,ZAV00280,1,66.63,156.96
ZA-00009411,1,SKU15185,ZAV00526,1,142.2,120.76
ZA-00009412,1,SKU22214,ZAV00781,2,1544.74,123.36
ZA-00009412,2,SKU67314,ZAV00169,1,726.07,86.29
ZA-00009412,3,SKU66181,ZAV00538,1,239.35,85.3
ZA-00009413,1,SKU26074,ZAV00363,1,120.43,151.74
ZA-00009414,1,SKU80651,ZAV00176,1,166.49,171.6
ZA-00009415,1,SKU88059,ZAV00549,3,182.09,116.61
ZA-00009416,1,SKU89363,ZAV00638,1,2414.67,135.33
ZA-00009417,1,SKU59324,ZAV00368,1,1345.46,141.89
ZA-00009418,1,SKU61772,ZAV00637,2,1315.76,177.78
ZA-00009419,1,SKU17223,ZAV00177,1,455.52,48.46
ZA-00009420,1,SKU14738,ZAV00687,1,1706.16,161.47
ZA-00009421,1,SKU51679,ZAV00735,1,196.38,116.91
ZA-00009422,1,SKU25046,ZAV00049,1,419.73,79.06
ZA-00009423,1,SKU84308,ZAV00497,1,1409.95,93.13
ZA-00009424,1,SKU96017,ZAV00204,1,213.45,48.02
ZA-00009425,1,SKU24094,ZAV00219,1,481.33,112.69
ZA-00009426,1,SKU95680,ZAV00647,1,490.96,44.57
ZA-00009427,1,SKU39874,ZAV00478,1,203.83,169.1
ZA-00009428,1,SKU96814,ZAV00179,1,250.27,140.29
ZA-00009429,1,SKU90505,ZAV00264,1,698.76,111.09
ZA-00009430,1,SKU32860,ZAV00561,3,654.72,63.92
ZA-00009431,1,SKU90695,ZAV00029,1,1255.46,37.7
ZA-00009432,1,SKU44236,ZAV00386,1,198.89,74.14
ZA-00009432,2,SKU41887,ZAV00218,1,84.66,47.75
ZA-00009433,1,SKU64865,ZAV00710,1,1043.6,35.95
ZA-00009434,1,SKU61141,ZAV00100,1,75.07,161.46
ZA-00009435,1,SKU24288,ZAV00376,1,254.32,108.74
ZA-00009436,1,SKU46974,ZAV00721,1,280.01,165.16
ZA-00009437,1,SKU31325,ZAV00401,1,187.56,119.87
ZA-00009438,1,SKU85293,ZAV00323,1,241.86,153.65
ZA-00009439,1,SKU45703,ZAV00331,1,332.74,166.25
ZA-00009440,1,SKU16188,ZAV00350,1,805.06,178.93
ZA-00009440,2,SKU93517,ZAV00480,1,1202.77,47.38
ZA-00009440,3,SKU85366,ZAV00534,2,466.69,38.44
ZA-00009441,1,SKU34948,ZAV00558,2,160.76,131.37
ZA-00009442,1,SKU41072,ZAV00465,1,283.58,129.92
ZA-00009443,1,SKU97480,ZAV00619,2,420.53,177.44
ZA-00009444,1,SKU18611,ZAV00039,1,651.86,38.36
ZA-00009445,1,SKU98946,ZAV00720,1,81.29,103.88
ZA-00009446,1,SKU58107,ZAV00341,1,305.42,174.66
ZA-00009447,1,SKU60480,ZAV00499,1,53.14,154.96
ZA-00009448,1,SKU86461,ZAV00723,1,675.81,108.14
ZA-00009449,1,SKU51907,ZAV00417,2,2327.86,147.72
ZA-00009450,1,SKU33699,ZAV00116,2,1461.85,133.18
ZA-00009451,1,SKU29952,ZAV00301,1,771.49,148.62
ZA-00009452,1,SKU76078,ZAV00782,1,2429.05,49.73
ZA-00009453,1,SKU13653,ZAV00565,1,243.33,114.82
ZA-00009454,1,SKU51438,ZAV00268,1,384.79,81.56
ZA-00009455,1,SKU30796,ZAV00781,1,509.47,176.92
ZA-00009456,1,SKU77124,ZAV00380,1,668.1,165.49
ZA-00009456,2,SKU52301,ZAV00586,1,166.82,92.7
ZA-00009457,1,SKU88335,ZAV00191,1,830.29,176.02
ZA-00009457,2,SKU51949,ZAV00466,1,1151.36,108.19
ZA-00009457,3,SKU97359,ZAV00542,1,374.1,74.15
ZA-00009458,1,SKU53039,ZAV00170,1,362.36,164.66
ZA-00009459,1,SKU55445,ZAV00397,1,764.44,103.24
ZA-00009460,1,SKU48559,ZAV00286,1,196.86,157.17
ZA-00009460,2,SKU15467,ZAV00243,1,1193.21,172.81
ZA-00009461,1,SKU75747,ZAV00558,1,211.9,44.16
ZA-00009462,1,SKU61404,ZAV00095,1,567.44,97.72
ZA-00009463,1,SKU14577,ZAV00250,1,975.94,41.44
ZA-00009463,2,SKU50872,ZAV00748,1,899.2,60.82
ZA-00009464,1,SKU26190,ZAV00696,1,204.29,167.09
ZA-00009464,2,SKU88081,ZAV00112,1,802.85,154.11
