ord_ref,line_no,sku,vendor_code,qty,unit_price_zar,delivery_fee_zar
ZA-00014906,1,SKU45618,ZAV00713,1,597.72,69.14
ZA-00014907,1,SKU87730,ZAV00006,2,386.31,102.52
ZA-00014907,2,SKU67707,ZAV00631,1,557.21,75.35
ZA-00014908,1,SKU28502,ZAV00146,1,255.45,48.5
ZA-00014908,2,SKU16344,ZAV00014,3,527.47,85.69
ZA-00014909,1,SKU85183,ZAV00088,3,282.03,110.15
ZA-00014910,1,SKU80551,ZAV00422,1,393.83,129.98
ZA-00014911,1,SKU38577,ZAV00271,1,253.62,94.46
ZA-00014911,2,SKU76790,ZAV00523,1,282.52,163.59
ZA-00014912,1,SKU10135,ZAV00137,1,139.21,64.39
ZA-00014913,1,SKU24236,ZAV00273,1,591.45,84.03
ZA-00014913,2,SKU89083,ZAV00407,1,733.73,153.54
ZA-00014913,3,SKU28188,ZAV00009,1,1318.86,171.81
ZA-00014914,1,SKU77857,ZAV00079,1,915.49,88.19
ZA-00014915,1,SKU62992,ZAV00576,1,414.13,64.41
ZA-00014916,1,SKU42918,ZAV00295,1,566.48,147.72
ZA-00014917,1,SKU99933,ZAV00327,1,2106.48,140.19
ZA-00014918,1,SKU93915,ZAV00435,1,191.73,40.35
ZA-00014919,1,SKU67022,ZAV00061,1,56.53,106.89
ZA-00014920,1,SKU55761,ZAV00273,3,309.96,172.16
ZA-00014920,2,SKU60196,ZAV00334,2,1575.1,95.91
ZA-00014921,1,SKU69796,ZAV00163,1,226.53,151.36
ZA-00014922,1,SKU89309,ZAV00333,1,691.01,134.24
ZA-00014923,1,SKU76043,ZAV00532,2,953.28,110.57
ZA-00014924,1,SKU35521,ZAV00299,1,497.09,160.2
ZA-00014925,1,SKU99308,ZAV00685,1,181.56,174.96
ZA-00014926,1,SKU71846,ZAV00409,1,461.53,49.7
ZA-00014927,1,SKU73372,ZAV00632,1,994.69,112.75
ZA-00014928,1,SKU55395,ZAV00058,1,356.82,90.45
ZA-00014929,1,SKU43513,ZAV00052,1,1093.81,60.74
ZA-00014929,2,SKU57488,ZAV00541,1,261.28,118.5
ZA-00014930,1,SKU59663,ZAV00306,1,1782.75,158.29
ZA-00014931,1,SKU72129,ZAV00251,1,419.39,138.7
ZA-00014931,2,SKU13241,ZAV00753,1,419.78,98.96
ZA-00014932,1,SKU12441,ZAV00045,2,450.01,127.16
ZA-00014933,1,SKU64779,ZAV00365,1,358.21,61.33
ZA-00014933,2,SKU21182,ZAV00186,1,474.07,173.0
ZA-00014933,3,SKU93462,ZAV00124,1,74.13,106.96
ZA-00014934,1,SKU17487,ZAV00293,1,780.3,179.49
ZA-00014935,1,SKU48513,ZAV00778,1,178.46,82.84
ZA-00014936,1,SKU50415,ZAV00158,1,320.92,160.01
ZA-00014937,1,SKU32076,ZAV00038,1,559.06,39.5
ZA-00014938,1,SKU16475,ZAV00741,1,788.14,161.4
ZA-00014939,1,SKU66394,ZAV00518,1,170.53,94.47
ZA-00014939,2,SKU88192,ZAV00326,1,193.73,45.2
ZA-00014940,1,SKU29306,ZAV00176,1,611.14,93.93
ZA-00014941,1,SKU19483,ZAV00324,1,927.56,113.97
ZA-00014942,1,SKU28633,ZAV00315,1,65.15,109.67
ZA-00014943,1,SKU14306,ZAV00030,1,93.88,178.0
ZA-00014944,1,SKU94917,ZAV00201,1,1298.32,172.38
ZA-00014945,1,SKU89555,ZAV00218,1,475.94,76.3
ZA-00014946,1,SKU58398,ZAV00675,1,1368.3,58.36
ZA-00014947,1,SKU64625,ZAV00272,3,2700.44,176.27
ZA-00014948,1,SKU21736,ZAV00309,1,355.56,120.85
ZA-00014949,1,SKU33844,ZAV00484,1,503.53,179.85
ZA-00014950,1,SKU46954,ZAV00112,1,1305.07,175.72
ZA-00014951,1,SKU51304,ZAV00452,1,759.8,94.77
ZA-00014951,2,SKU23438,ZAV00257,1,4197.88,162.33
ZA-00014952,1,SKU82571,ZAV00460,1,320.31,86.12
ZA-00014953,1,SKU97244,ZAV00470,1,564.47,93.63
ZA-00014954,1,SKU73803,ZAV00044,1,390.44,166.85
ZA-00014954,2,SKU65813,ZAV00689,1,339.09,83.83
ZA-00014955,1,SKU92198,ZAV00031,1,740.13,131.71
ZA-00014956,1,SKU42917,ZAV00015,1,998.36,99.7
ZA-00014956,2,SKU96447,ZAV00553,1,409.57,145.21
ZA-00014956,3,SKU29993,ZAV00773,1,368.52,67.88
ZA-00014957,1,SKU18671,ZAV00552,1,1119.52,146.14
ZA-00014958,1,SKU33705,ZAV00725,1,988.63,83.05
ZA-00014959,1,SKU53429,ZAV00518,2,169.48,112.48
ZA-00014960,1,SKU11685,ZAV00163,1,1075.69,58.43
ZA-00014961,1,SKU23082,ZAV00619,2,1422.39,168.28
ZA-00014962,1,SKU84909,ZAV00689,1,1127.42,150.97
ZA-00014963,1,SKU18474,ZAV00014,1,418.29,96.11
ZA-00014963,2,SKU25962,ZAV00362,1,201.61,127.08
ZA-00014964,1,SKU14780,ZAV00117,1,137.0,132.78
ZA-00014965,1,SKU85714,ZAV00098,1,2678.6,128.59
ZA-00014966,1,SKU64897,ZAV00011,3,435.32,177.55
ZA-00014967,1,SKU77086,ZAV00669,1,1151.84,128.33
ZA-00014968,1,SKU26358,ZAV00346,1,107.52,169.69
ZA-00014969,1,SKU44789,ZAV00574,1,685.45,139.83
ZA-00014969,2,SKU47913,ZAV00465,2,450.58,127.49
ZA-00014970,1,SKU88429,ZAV00002,1,1078.45,67.77
ZA-00014970,2,SKU62471,ZAV00153,1,580.22,121.51
ZA-00014971,1,SKU18584,ZAV00618,1,195.45,37.07
ZA-00014972,1,SKU10533,ZAV00250,1,44.81,158.81
ZA-00014973,1,SKU10868,ZAV00692,1,1620.23,98.4
ZA-00014973,2,SKU55069,ZAV00523,2,115.96,134.72
ZA-00014973,3,SKU89166,ZAV00590,1,334.2,51.45
ZA-00014974,1,SKU91757,ZAV00360,1,593.19,158.61
ZA-00014974,2,SKU90526,ZAV00363,1,727.15,130.03
ZA-00014975,1,SKU59207,ZAV00454,2,667.02,165.63
ZA-00014976,1,SKU96161,ZAV00508,2,621.7,142.13
ZA-00014977,1,SKU62334,ZAV00772,1,381.09,112.97
ZA-00014978,1,SKU68989,ZAV00141,1,303.9,122.94
ZA-00014979,1,SKU14192,ZAV00695,1,874.58,51.99
ZA-00014980,1,SKU51283,ZAV00231,1,229.02,150.31
ZA-00014981,1,SKU32563,ZAV00686,1,126.54,73.05
ZA-00014982,1,SKU50121,ZAV00158,1,351.4,143.7
ZA-00014983,1,SKU78933,ZAV00280,2,663.1,129.51
ZA-00014984,1,SKU99199,ZAV00789,1,642.96,71.7
ZA-00014985,1,SKU69590,ZAV00450,1,1414.84,130.23
ZA-00014986,1,SKU93101,ZAV00298,1,209.47,150.97
ZA-00014987,1,SKU42116,ZAV00621,1,280.57,59.24
ZA-00014988,1,SKU58020,ZAV00048,1,2003.98,41.94
ZA-00014989,1,SKU55296,ZAV00235,1,383.14,132.89
ZA-00014989,2,SKU37049,ZAV00344,1,409.63,66.5
ZA-00014990,1,SKU11050,ZAV00154,1,2864.49,58.14
ZA-00014991,1,SKU72961,ZAV00310,1,1029.51,155.7
ZA-00014992,1,SKU74553,ZAV00567,1,575.04,42.38
ZA-00014993,1,SKU11816,ZAV00132,1,413.89,55.32
ZA-00014994,1,SKU48297,ZAV00191,1,689.92,138.68
ZA-00014995,1,SKU60458,ZAV00135,1,268.72,128.22
ZA-00014996,1,SKU42019,ZAV00299,1,495.77,107.39
ZA-00014996,2,SKU99439,ZAV00342,1,86.94,175.38
ZA-00014997,1,SKU47913,ZAV00101,1,405.53,171.4
ZA-00014997,2,SKU25062,ZAV00216,1,268.23,80.24
ZA-00014998,1,SKU51451,ZAV00643,1,380.68,176.89
ZA-00014999,1,SKU83595,ZAV00715,1,617.88,136.18
ZA-00015000,1,SKU32312,ZAV00186,2,1102.8,153.83
ZA-00015001,1,SKU85677,ZAV00281,1,925.55,128.47
ZA-00015001,2,SKU12776,ZAV00252,1,386.5,177.55
ZA-00015001,3,SKU23073,ZAV00721,1,2224.65,130.9
ZA-00015002,1,SKU72856,ZAV00006,1,197.33,95.37
ZA-00015002,2,SKU62229,ZAV00080,1,108.98,126.82
ZA-00015003,1,SKU33958,ZAV00201,1,194.64,108.57
ZA-00015004,1,SKU68381,ZAV00034,1,160.0,36.48
ZA-00015005,1,SKU32173,ZAV00094,1,2274.83,59.22
ZA-00015006,1,SKU77602,ZAV00115,1,1572.31,164.4
ZA-00015007,1,SKU76634,ZAV00362,1,751.52,63.93
ZA-00015008,1,SKU84304,ZAV00246,1,484.26,120.25
ZA-00015009,1,SKU27744,ZAV00395,1,603.72,36.37
ZA-00015009,2,SKU67804,ZAV00430,2,216.38,131.61
ZA-00015010,1,SKU24701,ZAV00677,1,585.78,132.62
ZA-00015011,1,SKU96862,ZAV00350,1,624.97,146.79
ZA-00015011,2,SKU66633,ZAV00704,1,160.8,130.55
ZA-00015012,1,SKU86838,ZAV00307,1,634.4,123.72
ZA-00015012,2,SKU76829,ZAV00652,3,384.64,174.11
